"Package","Version","Assembly","DotNetFramework"
"devexpress.web.mvc.dashboard","16.2.5","DevExpress.Dashboard.v16.2.Web.Mvc.dll","Any,Version=v0.0"
"devexpress.web.mvc5.dashboard","16.2.5","DevExpress.Dashboard.v16.2.Web.Mvc5.dll","Any,Version=v0.0"
"devexpress.web.scheduler","16.2.5","DevExpress.Web.ASPxScheduler.v16.2.dll","Any,Version=v0.0"
"devexpress.web.scheduler","16.2.5","DevExpress.XtraScheduler.v16.2.Core.dll","Any,Version=v0.0"
"devexpress.web.office","16.2.5","DevExpress.Spreadsheet.v16.2.Core.dll","Any,Version=v0.0"
"devexpress.web.office","16.2.5","DevExpress.Web.ASPxRichEdit.v16.2.dll","Any,Version=v0.0"
"devexpress.web.office","16.2.5","DevExpress.Web.ASPxSpreadsheet.v16.2.dll","Any,Version=v0.0"
"devexpress.web.mvc","16.2.5","DevExpress.Web.Mvc.v16.2.dll","Any,Version=v0.0"
"devexpress.web","16.2.5","DevExpress.Data.v16.2.dll","Any,Version=v0.0"
"devexpress.web","16.2.5","DevExpress.Office.v16.2.Core.dll","Any,Version=v0.0"
"devexpress.web","16.2.5","DevExpress.Pdf.v16.2.Core.dll","Any,Version=v0.0"
"devexpress.web","16.2.5","DevExpress.Pdf.v16.2.Drawing.dll","Any,Version=v0.0"
"devexpress.web","16.2.5","DevExpress.PivotGrid.v16.2.Core.dll","Any,Version=v0.0"
"devexpress.web","16.2.5","DevExpress.Printing.v16.2.Core.dll","Any,Version=v0.0"
"devexpress.web","16.2.5","DevExpress.RichEdit.v16.2.Core.dll","Any,Version=v0.0"
"devexpress.web","16.2.5","DevExpress.SpellChecker.v16.2.Core.dll","Any,Version=v0.0"
"devexpress.web","16.2.5","DevExpress.Web.ASPxHtmlEditor.v16.2.dll","Any,Version=v0.0"
"devexpress.web","16.2.5","DevExpress.Web.ASPxPivotGrid.v16.2.dll","Any,Version=v0.0"
"devexpress.web","16.2.5","DevExpress.Web.ASPxSpellChecker.v16.2.dll","Any,Version=v0.0"
"devexpress.web","16.2.5","DevExpress.Web.ASPxTreeList.v16.2.dll","Any,Version=v0.0"
"devexpress.web","16.2.5","DevExpress.Web.Resources.v16.2.dll","Any,Version=v0.0"
"devexpress.web","16.2.5","DevExpress.Web.v16.2.dll","Any,Version=v0.0"
"devexpress.web","16.2.5","DevExpress.Xpo.v16.2.dll","Any,Version=v0.0"
"devexpress.web.visualization","16.2.5","DevExpress.Charts.v16.2.Core.dll","Any,Version=v0.0"
"devexpress.web.visualization","16.2.5","DevExpress.Utils.v16.2.dll","Any,Version=v0.0"
"devexpress.web.visualization","16.2.5","DevExpress.Web.ASPxGauges.v16.2.dll","Any,Version=v0.0"
"devexpress.web.visualization","16.2.5","DevExpress.XtraCharts.v16.2.dll","Any,Version=v0.0"
"devexpress.web.visualization","16.2.5","DevExpress.XtraCharts.v16.2.Web.dll","Any,Version=v0.0"
"devexpress.web.visualization","16.2.5","DevExpress.XtraGauges.v16.2.Core.dll","Any,Version=v0.0"
"devexpress.web.mvc5","16.2.5","DevExpress.Web.Mvc5.v16.2.dll","Any,Version=v0.0"
"devexpress.web.dashboard","16.2.5","DevExpress.Dashboard.v16.2.Core.dll","Any,Version=v0.0"
"devexpress.web.dashboard","16.2.5","DevExpress.Dashboard.v16.2.Web.dll","Any,Version=v0.0"
"devexpress.web.dashboard","16.2.5","DevExpress.Map.v16.2.Core.dll","Any,Version=v0.0"
"devexpress.web.dashboard","16.2.5","DevExpress.TreeMap.v16.2.Core.dll","Any,Version=v0.0"
"devexpress.web.dashboard","16.2.5","DevExpress.XtraBars.v16.2.dll","Any,Version=v0.0"
"devexpress.web.dashboard","16.2.5","DevExpress.XtraEditors.v16.2.dll","Any,Version=v0.0"
"devexpress.web.dashboard","16.2.5","DevExpress.XtraGauges.v16.2.Presets.dll","Any,Version=v0.0"
"devexpress.web.dashboard","16.2.5","DevExpress.XtraGauges.v16.2.Win.dll","Any,Version=v0.0"
"devexpress.web.dashboard","16.2.5","DevExpress.XtraLayout.v16.2.dll","Any,Version=v0.0"
"devexpress.web.dashboard","16.2.5","DevExpress.XtraMap.v16.2.dll","Any,Version=v0.0"
"devexpress.web.dashboard","16.2.5","DevExpress.XtraPrinting.v16.2.dll","Any,Version=v0.0"
"devexpress.web.dashboard","16.2.5","DevExpress.XtraTreeList.v16.2.dll","Any,Version=v0.0"
"devexpress.web.dashboard","16.2.5","DevExpress.XtraTreeMap.v16.2.dll","Any,Version=v0.0"
"devexpress.web.reporting","16.2.5","DevExpress.CodeParser.v16.2.dll","Any,Version=v0.0"
"devexpress.web.reporting","16.2.5","DevExpress.DataAccess.v16.2.dll","Any,Version=v0.0"
"devexpress.web.reporting","16.2.5","DevExpress.Sparkline.v16.2.Core.dll","Any,Version=v0.0"
"devexpress.web.reporting","16.2.5","DevExpress.XtraReports.v16.2.dll","Any,Version=v0.0"
"devexpress.web.reporting","16.2.5","DevExpress.XtraReports.v16.2.Web.dll","Any,Version=v0.0"
"devexpress.web.themes","16.2.5","DevExpress.Web.ASPxThemes.v16.2.dll","Any,Version=v0.0"
