"Package","Version","Assembly","DotNetFramework"
"devexpress.pdf.drawing","17.1.5","DevExpress.Pdf.v17.1.Drawing.dll","Any,Version=v0.0"
"devexpress.document.processor","17.1.5","DevExpress.Docs.v17.1.dll","Any,Version=v0.0"
"devexpress.document.processor","17.1.5","DevExpress.Snap.v17.1.Core.dll","Any,Version=v0.0"
"devextreme.aspnet.mvc","17.1.5","DevExtreme.AspNet.Mvc.dll",".NETFramework,Version=v4.0"
"devexpress.wpf.pdfviewer","17.1.5","DevExpress.Xpf.PdfViewer.v17.1.dll","Any,Version=v0.0"
"devextreme.aspnet.core","17.1.5","DevExtreme.AspNet.Core.dll",".NETFramework,Version=v4.5.1"
"devextreme.aspnet.core","17.1.5","DevExtreme.AspNet.Core.dll",".NETStandard,Version=v1.6"
