#TYPE System.Management.Automation.PSCustomObject
"Package","Version","Assembly","DotNetFramework"
"devexpress.web.dashboard.common.ja","18.1.6","DevExpress.Dashboard.v18.1.Web.resources",".NETStandard,Version=v2.0"
"devexpress.web","18.1.6","DevExpress.Web.ASPxHtmlEditor.v18.1",".NETFramework,Version=v4.0"
"devexpress.web","18.1.6","DevExpress.Web.ASPxPivotGrid.v18.1",".NETFramework,Version=v4.0"
"devexpress.web","18.1.6","DevExpress.Web.ASPxSpellChecker.v18.1",".NETFramework,Version=v4.0"
"devexpress.web","18.1.6","DevExpress.Web.ASPxTreeList.v18.1",".NETFramework,Version=v4.0"
"devexpress.web","18.1.6","DevExpress.Web.Resources.v18.1",".NETFramework,Version=v4.0"
"devexpress.web","18.1.6","DevExpress.Web.v18.1",".NETFramework,Version=v4.0"
"devexpress.web.mvc5","18.1.6","DevExpress.Web.Mvc5.v18.1",".NETFramework,Version=v4.0"
"devexpress.web.de","18.1.6","DevExpress.Web.ASPxHtmlEditor.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.web.de","18.1.6","DevExpress.Web.ASPxSpellChecker.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.web.de","18.1.6","DevExpress.Web.ASPxTreeList.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.web.de","18.1.6","DevExpress.Web.Resources.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.web.de","18.1.6","DevExpress.Web.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.web.ja","18.1.6","DevExpress.Web.ASPxHtmlEditor.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.web.ja","18.1.6","DevExpress.Web.ASPxSpellChecker.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.web.ja","18.1.6","DevExpress.Web.ASPxTreeList.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.web.ja","18.1.6","DevExpress.Web.Resources.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.web.ja","18.1.6","DevExpress.Web.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.web.mvc.dashboard","18.1.6","DevExpress.Dashboard.v18.1.Web.Mvc",".NETFramework,Version=v4.0"
"devexpress.web.office.es","18.1.6","DevExpress.Web.ASPxRichEdit.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.web.office.es","18.1.6","DevExpress.Web.ASPxSpreadsheet.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.web.office","18.1.6","DevExpress.Web.ASPxRichEdit.v18.1",".NETFramework,Version=v4.0"
"devexpress.web.office","18.1.6","DevExpress.Web.ASPxSpreadsheet.v18.1",".NETFramework,Version=v4.0"
"devexpress.web.office.ru","18.1.6","DevExpress.Web.ASPxRichEdit.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.web.office.ru","18.1.6","DevExpress.Web.ASPxSpreadsheet.v18.1.resources",".NETFramework,Version=v4.0"
"devexpress.web.mvc5.dashboard","18.1.6","DevExpress.Dashboard.v18.1.Web.Mvc5",".NETFramework,Version=v4.0"
"devexpress.web.reporting.azure","18.1.6","DevExpress.XtraReports.v18.1.Web.Azure",".NETFramework,Version=v4.0"
"devexpress.web.reporting.common.de","18.1.6","DevExpress.XtraReports.v18.1.Web.resources",".NETFramework,Version=v4.0"
"devexpress.web.reporting.common.de","18.1.6","DevExpress.XtraReports.v18.1.Web.resources",".NETStandard,Version=v2.0"
"devexpress.web.reporting.common.ja","18.1.6","DevExpress.XtraReports.v18.1.Web.resources",".NETFramework,Version=v4.0"
