"Package","Version","Assembly","DotNetFramework"
"DevExpress.Dashboard.Core.ja","18.2.8.0","DevExpress.Dashboard.v18.2.Core.resources.dll",".NETStandard,Version=v2.0"
"DevExpress.Data.ru","18.2.8.0","DevExpress.Data.v18.2.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.Data.ru","18.2.8.0","DevExpress.Data.v18.2.resources.dll",".NETStandard,Version=v2.0"
"DevExpress.DataAccess.es","18.2.8.0","DevExpress.DataAccess.v18.2.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.DataAccess.es","18.2.8.0","DevExpress.DataAccess.v18.2.resources.dll",".NETStandard,Version=v2.0"
"DevExpress.DataAccess.ja","18.2.8.0","DevExpress.DataAccess.v18.2.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.DataAccess.ja","18.2.8.0","DevExpress.DataAccess.v18.2.resources.dll",".NETStandard,Version=v2.0"
"DevExpress.DataAccess.de","18.2.8.0","DevExpress.DataAccess.v18.2.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.DataAccess.de","18.2.8.0","DevExpress.DataAccess.v18.2.resources.dll",".NETStandard,Version=v2.0"
"DevExpress.DataAccess","18.2.8.0","DevExpress.DataAccess.v18.2.dll",".NETFramework,Version=v4.5.2"
"DevExpress.DataAccess","18.2.8.0","DevExpress.DataAccess.v18.2.dll",".NETStandard,Version=v2.0"
"DevExpress.DataAccess.UI.de","18.2.8.0","DevExpress.DataAccess.v18.2.UI.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.DataAccess.UI","18.2.8.0","DevExpress.DataAccess.v18.2.UI.dll",".NETFramework,Version=v4.5.2"
"DevExpress.DataAccess.ru","18.2.8.0","DevExpress.DataAccess.v18.2.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.DataAccess.ru","18.2.8.0","DevExpress.DataAccess.v18.2.resources.dll",".NETStandard,Version=v2.0"
"DevExpress.DataAccess.UI.es","18.2.8.0","DevExpress.DataAccess.v18.2.UI.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.DataAccess.UI.ru","18.2.8.0","DevExpress.DataAccess.v18.2.UI.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.DataAccess.UI.ja","18.2.8.0","DevExpress.DataAccess.v18.2.UI.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.Diagram.Core","18.2.8.0","DevExpress.Diagram.v18.2.Core.dll",".NETFramework,Version=v4.5.2"
"DevExpress.Diagram.Core.de","18.2.8.0","DevExpress.Diagram.v18.2.Core.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.Diagram.Core.es","18.2.8.0","DevExpress.Diagram.v18.2.Core.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.Diagram.Core.ja","18.2.8.0","DevExpress.Diagram.v18.2.Core.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.Diagram.Core.ru","18.2.8.0","DevExpress.Diagram.v18.2.Core.resources.dll",".NETFramework,Version=v4.5.2"
