"Package","Version","Assembly","DotNetFramework"
"devexpress.web.mvc","16.2.4","DevExpress.Web.Mvc.v16.2.dll","Any,Version=v0.0"
"devexpress.web.office","16.2.4","DevExpress.Spreadsheet.v16.2.Core.dll","Any,Version=v0.0"
"devexpress.web.office","16.2.4","DevExpress.Web.ASPxRichEdit.v16.2.dll","Any,Version=v0.0"
"devexpress.web.office","16.2.4","DevExpress.Web.ASPxSpreadsheet.v16.2.dll","Any,Version=v0.0"
"devexpress.web.scheduler","16.2.4","DevExpress.Web.ASPxScheduler.v16.2.dll","Any,Version=v0.0"
"devexpress.web.scheduler","16.2.4","DevExpress.Xpo.v16.2.dll","Any,Version=v0.0"
"devexpress.web.scheduler","16.2.4","DevExpress.XtraScheduler.v16.2.Core.dll","Any,Version=v0.0"
"devexpress.web.mvc5","16.2.4","DevExpress.Web.Mvc5.v16.2.dll","Any,Version=v0.0"
"devexpress.web.reporting","16.2.4","DevExpress.CodeParser.v16.2.dll","Any,Version=v0.0"
"devexpress.web.reporting","16.2.4","DevExpress.DataAccess.v16.2.dll","Any,Version=v0.0"
"devexpress.web.reporting","16.2.4","DevExpress.Sparkline.v16.2.Core.dll","Any,Version=v0.0"
"devexpress.web.reporting","16.2.4","DevExpress.XtraReports.v16.2.dll","Any,Version=v0.0"
"devexpress.web.reporting","16.2.4","DevExpress.XtraReports.v16.2.Web.dll","Any,Version=v0.0"
"devexpress.web.visualization","16.2.4","DevExpress.Charts.v16.2.Core.dll","Any,Version=v0.0"
"devexpress.web.visualization","16.2.4","DevExpress.Utils.v16.2.dll","Any,Version=v0.0"
"devexpress.web.visualization","16.2.4","DevExpress.Web.ASPxGauges.v16.2.dll","Any,Version=v0.0"
"devexpress.web.visualization","16.2.4","DevExpress.XtraCharts.v16.2.dll","Any,Version=v0.0"
"devexpress.web.visualization","16.2.4","DevExpress.XtraCharts.v16.2.Web.dll","Any,Version=v0.0"
"devexpress.web.visualization","16.2.4","DevExpress.XtraGauges.v16.2.Core.dll","Any,Version=v0.0"
"devexpress.web","16.2.4","DevExpress.Data.v16.2.dll","Any,Version=v0.0"
"devexpress.web","16.2.4","DevExpress.Office.v16.2.Core.dll","Any,Version=v0.0"
"devexpress.web","16.2.4","DevExpress.Pdf.v16.2.Core.dll","Any,Version=v0.0"
"devexpress.web","16.2.4","DevExpress.Pdf.v16.2.Drawing.dll","Any,Version=v0.0"
"devexpress.web","16.2.4","DevExpress.PivotGrid.v16.2.Core.dll","Any,Version=v0.0"
"devexpress.web","16.2.4","DevExpress.Printing.v16.2.Core.dll","Any,Version=v0.0"
"devexpress.web","16.2.4","DevExpress.RichEdit.v16.2.Core.dll","Any,Version=v0.0"
"devexpress.web","16.2.4","DevExpress.SpellChecker.v16.2.Core.dll","Any,Version=v0.0"
"devexpress.web","16.2.4","DevExpress.Web.ASPxHtmlEditor.v16.2.dll","Any,Version=v0.0"
"devexpress.web","16.2.4","DevExpress.Web.ASPxPivotGrid.v16.2.dll","Any,Version=v0.0"
"devexpress.web","16.2.4","DevExpress.Web.ASPxSpellChecker.v16.2.dll","Any,Version=v0.0"
"devexpress.web","16.2.4","DevExpress.Web.ASPxTreeList.v16.2.dll","Any,Version=v0.0"
"devexpress.web","16.2.4","DevExpress.Web.Resources.v16.2.dll","Any,Version=v0.0"
"devexpress.web","16.2.4","DevExpress.Web.v16.2.dll","Any,Version=v0.0"
"devexpress.web.themes","16.2.4","DevExpress.Web.ASPxThemes.v16.2.dll","Any,Version=v0.0"
