"Package","Version","Assembly","DotNetFramework"
"DevExpress.ExpressApp.AuditTrail.EFCore","21.1.4.0","DevExpress.ExpressApp.AuditTrail.EFCore.v21.1.dll",".NETStandard,Version=v2.1"
"DevExpress.ExpressApp.AuditTrail.es","21.1.4.0","DevExpress.ExpressApp.AuditTrail.v21.1.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.AuditTrail.es","21.1.4.0","DevExpress.ExpressApp.AuditTrail.v21.1.resources.dll",".NETStandard,Version=v2.0"
"DevExpress.Blazor.es","21.1.4.0","DevExpress.Blazor.v21.1.resources.dll",".NETFramework,Version=v5.0"
"DevExpress.ExpressApp.Office.Win.ru","21.1.4.0","DevExpress.ExpressApp.Office.Win.v21.1.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.Office.Win.ru","21.1.4.0","DevExpress.ExpressApp.Office.Win.v21.1.resources.dll",".NETFramework,Version=v5.0,Profile=windows"
"DevExpress.Blazor.Reporting.JSBasedControls","21.1.4.0","DevExpress.Blazor.Reporting.v21.1.JSBasedControls.dll",".NETFramework,Version=v5.0"
"DevExpress.Blazor.Dashboard","21.1.4.0","DevExpress.Dashboard.v21.1.Blazor.dll",".NETFramework,Version=v5.0"
"DevExpress.AspNetCore.Resources.de","21.1.4.0","DevExpress.AspNetCore.Resources.v21.1.resources.dll",".NETStandard,Version=v2.0"
"DevExpress.Blazor.Reporting.Viewer.ru","21.1.4.0","DevExpress.Blazor.Reporting.v21.1.Viewer.resources.dll",".NETFramework,Version=v5.0"
"DevExpress.ExpressApp.AuditTrail.de","21.1.4.0","DevExpress.ExpressApp.AuditTrail.v21.1.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.AuditTrail.de","21.1.4.0","DevExpress.ExpressApp.AuditTrail.v21.1.resources.dll",".NETStandard,Version=v2.0"
"DevExpress.AspNetCore.Resources.ja","21.1.4.0","DevExpress.AspNetCore.Resources.v21.1.resources.dll",".NETStandard,Version=v2.0"
"DevExpress.ExpressApp.CloneObject","21.1.4.0","DevExpress.ExpressApp.CloneObject.v21.1.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.CloneObject","21.1.4.0","DevExpress.ExpressApp.CloneObject.v21.1.dll",".NETStandard,Version=v2.0"
"DevExpress.EasyTest","21.1.4.0","DevExpress.EasyTest.v21.1.dll",".NETFramework,Version=v4.5.2"
"DevExpress.EasyTest","21.1.4.0","DevExpress.EasyTest.v21.1.dll",".NETStandard,Version=v2.0"
"DevExpress.Blazor.Reporting.Viewer","21.1.4.0","DevExpress.Blazor.Reporting.v21.1.Viewer.dll",".NETFramework,Version=v5.0"
