"Package","Version","Assembly","DotNetFramework"
"devexpress.document.processor","16.2.13","DevExpress.Docs.v16.2.dll",".NETFramework,Version=v4.0"
"devexpress.pdf.drawing","16.2.13","DevExpress.Pdf.v16.2.Drawing.dll",".NETFramework,Version=v4.0"
"devexpress.images","16.2.13","DevExpress.Images.v16.2.dll",".NETFramework,Version=v4.0"
"devexpress.reporting.core.de","16.2.13","DevExpress.XtraReports.v16.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.mvvm","16.2.13","DevExpress.Mvvm.v16.2.dll",".NETFramework,Version=v4.0"
"devexpress.reporting.core.ja","16.2.13","DevExpress.XtraReports.v16.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.reporting.core","16.2.13","DevExpress.XtraReports.v16.2.dll",".NETFramework,Version=v4.0"
"devexpress.reporting.core.es","16.2.13","DevExpress.XtraReports.v16.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.reporting.core.ru","16.2.13","DevExpress.XtraReports.v16.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.bootstrap","16.2.13","DevExpress.Web.Bootstrap.v16.2.dll",".NETFramework,Version=v4.0"
"devexpress.web.dashboard.de","16.2.13","DevExpress.Dashboard.v16.2.Web.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.dashboard.ja","16.2.13","DevExpress.Dashboard.v16.2.Web.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.de","16.2.13","DevExpress.Web.ASPxHtmlEditor.v16.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.de","16.2.13","DevExpress.Web.ASPxSpellChecker.v16.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.de","16.2.13","DevExpress.Web.ASPxTreeList.v16.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.de","16.2.13","DevExpress.Web.v16.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web","16.2.13","DevExpress.Web.ASPxHtmlEditor.v16.2.dll",".NETFramework,Version=v4.0"
"devexpress.web","16.2.13","DevExpress.Web.ASPxPivotGrid.v16.2.dll",".NETFramework,Version=v4.0"
"devexpress.web","16.2.13","DevExpress.Web.ASPxSpellChecker.v16.2.dll",".NETFramework,Version=v4.0"
"devexpress.web","16.2.13","DevExpress.Web.ASPxTreeList.v16.2.dll",".NETFramework,Version=v4.0"
"devexpress.web","16.2.13","DevExpress.Web.Resources.v16.2.dll",".NETFramework,Version=v4.0"
"devexpress.web","16.2.13","DevExpress.Web.v16.2.dll",".NETFramework,Version=v4.0"
"devexpress.web.dashboard.es","16.2.13","DevExpress.Dashboard.v16.2.Web.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.dashboard","16.2.13","DevExpress.Dashboard.v16.2.Web.dll",".NETFramework,Version=v4.0"
"devexpress.web.mvc.dashboard","16.2.13","DevExpress.Dashboard.v16.2.Web.Mvc.dll",".NETFramework,Version=v4.0"
"devexpress.web.dashboard.ru","16.2.13","DevExpress.Dashboard.v16.2.Web.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.ja","16.2.13","DevExpress.Web.ASPxHtmlEditor.v16.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.ja","16.2.13","DevExpress.Web.ASPxSpellChecker.v16.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.ja","16.2.13","DevExpress.Web.ASPxTreeList.v16.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.ja","16.2.13","DevExpress.Web.v16.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.es","16.2.13","DevExpress.Web.ASPxHtmlEditor.v16.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.es","16.2.13","DevExpress.Web.ASPxSpellChecker.v16.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.es","16.2.13","DevExpress.Web.ASPxTreeList.v16.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.es","16.2.13","DevExpress.Web.v16.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.mvc","16.2.13","DevExpress.Web.Mvc.v16.2.dll",".NETFramework,Version=v4.0"
"devexpress.web.mvc5.dashboard","16.2.13","DevExpress.Dashboard.v16.2.Web.Mvc5.dll",".NETFramework,Version=v4.0"
"devexpress.web.mvc5","16.2.13","DevExpress.Web.Mvc5.v16.2.dll",".NETFramework,Version=v4.0"
"devexpress.web.office.de","16.2.13","DevExpress.Web.ASPxRichEdit.v16.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.office.de","16.2.13","DevExpress.Web.ASPxSpreadsheet.v16.2.resources.dll",".NETFramework,Version=v4.0"
