#TYPE System.Management.Automation.PSCustomObject
"Package","Version","Assembly","Framework"
"DevExpress.Wpf.Themes.Office2016ColorfulSE","18.2.6","DevExpress.Xpf.Themes.Office2016ColorfulSE.v18.2.dll","net452"
"DevExpress.Wpf.Themes.VS2017Light","18.2.6","DevExpress.Xpf.Themes.VS2017Light.v18.2.dll","net452"
"DevExpress.Xpo.ja","18.2.6","DevExpress.Xpo.v18.2.resources.dll","ja"
"DevExpress.Xpo.Extensions","18.2.6","DevExpress.Xpo.v18.2.Extensions.dll","net452"
"DevExpress.Xpo.es","18.2.6","DevExpress.Xpo.v18.2.resources.dll","es"
"DevExpress.Xpo.ru","18.2.6","DevExpress.Xpo.v18.2.resources.dll","ru"
"DevExpress.Xpo.ru","18.2.6","DevExpress.Xpo.v18.2.resources.dll","ru"
"DevExpress.Xpo.ja","18.2.6","DevExpress.Xpo.v18.2.resources.dll","ja"
"DevExpress.Xpo","18.2.6","DevExpress.Xpo.v18.2.dll","netstandard2.0"
"DevExpress.Xpo","18.2.6","DevExpress.Xpo.v18.2.dll","net452"
"DevExpress.Wpf.TreeMap","18.2.6","DevExpress.Xpf.TreeMap.v18.2.dll","net452"
"DevExpress.Xpo.es","18.2.6","DevExpress.Xpo.v18.2.resources.dll","es"
"DevExpress.Xpo.de","18.2.6","DevExpress.Xpo.v18.2.resources.dll","de"
"DevExpress.Xpo.de","18.2.6","DevExpress.Xpo.v18.2.resources.dll","de"
"DevExpress.Wpf.Spreadsheet.de","18.2.6","DevExpress.Xpf.Spreadsheet.v18.2.resources.dll","de"
"DevExpress.Wpf.Spreadsheet","18.2.6","DevExpress.Xpf.Spreadsheet.v18.2.dll","net452"
"DevExpress.Wpf.SpellChecker.ru","18.2.6","DevExpress.Xpf.SpellChecker.v18.2.resources.dll","ru"
"DevExpress.Wpf.Spreadsheet.ru","18.2.6","DevExpress.Xpf.Spreadsheet.v18.2.resources.dll","ru"
"DevExpress.Wpf.Spreadsheet.ja","18.2.6","DevExpress.Xpf.Spreadsheet.v18.2.resources.dll","ja"
"DevExpress.Wpf.Spreadsheet.es","18.2.6","DevExpress.Xpf.Spreadsheet.v18.2.resources.dll","es"
"DevExpress.Wpf.SpellChecker","18.2.6","DevExpress.Xpf.SpellChecker.v18.2.dll","net452"
"DevExpress.Wpf.Scheduling.ru","18.2.6","DevExpress.Xpf.Scheduling.v18.2.resources.dll","ru"
"DevExpress.Wpf.Scheduling.ja","18.2.6","DevExpress.Xpf.Scheduling.v18.2.resources.dll","ja"
"DevExpress.Wpf.SpellChecker.ja","18.2.6","DevExpress.Xpf.SpellChecker.v18.2.resources.dll","ja"
"DevExpress.Wpf.SpellChecker.es","18.2.6","DevExpress.Xpf.SpellChecker.v18.2.resources.dll","es"
"DevExpress.Wpf.SpellChecker.de","18.2.6","DevExpress.Xpf.SpellChecker.v18.2.resources.dll","de"
"DevExpress.Wpf.Themes.DXStyle","18.2.6","DevExpress.Xpf.Themes.DXStyle.v18.2.dll","net452"
"DevExpress.Wpf.Themes.Office2010Silver","18.2.6","DevExpress.Xpf.Themes.Office2010Silver.v18.2.dll","net452"
"DevExpress.Wpf.Themes.Office2010Blue","18.2.6","DevExpress.Xpf.Themes.Office2010Blue.v18.2.dll","net452"
"DevExpress.Wpf.Themes.Office2010Black","18.2.6","DevExpress.Xpf.Themes.Office2010Black.v18.2.dll","net452"
"DevExpress.Wpf.Themes.Office2013LightGray","18.2.6","DevExpress.Xpf.Themes.Office2013LightGray.v18.2.dll","net452"
"DevExpress.Wpf.Themes.Office2013DarkGray","18.2.6","DevExpress.Xpf.Themes.Office2013DarkGray.v18.2.dll","net452"
"DevExpress.Wpf.Themes.Office2013","18.2.6","DevExpress.Xpf.Themes.Office2013.v18.2.dll","net452"
"DevExpress.Wpf.Themes.MetropolisLight","18.2.6","DevExpress.Xpf.Themes.MetropolisLight.v18.2.dll","net452"
"DevExpress.Wpf.Themes.MetropolisDark","18.2.6","DevExpress.Xpf.Themes.MetropolisDark.v18.2.dll","net452"
"DevExpress.Wpf.Themes.LightGray","18.2.6","DevExpress.Xpf.Themes.LightGray.v18.2.dll","net452"
"DevExpress.Wpf.Themes.Office2007Silver","18.2.6","DevExpress.Xpf.Themes.Office2007Silver.v18.2.dll","net452"
"DevExpress.Wpf.Themes.Office2007Blue","18.2.6","DevExpress.Xpf.Themes.Office2007Blue.v18.2.dll","net452"
"DevExpress.Wpf.Themes.Office2007Black","18.2.6","DevExpress.Xpf.Themes.Office2007Black.v18.2.dll","net452"
"DevExpress.Win.Snap.ru","18.2.6","DevExpress.Snap.v18.2.Extensions.resources.dll","ru"
"DevExpress.Win.Snap.ja","18.2.6","DevExpress.Snap.v18.2.resources.dll","ja"
"DevExpress.Win.Snap.ja","18.2.6","DevExpress.Snap.v18.2.Extensions.resources.dll","ja"
"DevExpress.Win.SpellChecker.de","18.2.6","DevExpress.XtraSpellChecker.v18.2.resources.dll","de"
"DevExpress.Win.SpellChecker","18.2.6","DevExpress.XtraSpellChecker.v18.2.dll","net452"
"DevExpress.Win.Snap.ru","18.2.6","DevExpress.Snap.v18.2.resources.dll","ru"
"DevExpress.Win.Snap.de","18.2.6","DevExpress.Snap.v18.2.Extensions.resources.dll","de"
"DevExpress.Win.Snap","18.2.6","DevExpress.Snap.v18.2.Extensions.dll","net452"
"DevExpress.Win.Snap","18.2.6","DevExpress.Snap.v18.2.dll","net452"
"DevExpress.Win.Snap.es","18.2.6","DevExpress.Snap.v18.2.resources.dll","es"
"DevExpress.Win.Snap.es","18.2.6","DevExpress.Snap.v18.2.Extensions.resources.dll","es"
"DevExpress.Win.Snap.de","18.2.6","DevExpress.Snap.v18.2.resources.dll","de"
"DevExpress.Win.SpellChecker.es","18.2.6","DevExpress.XtraSpellChecker.v18.2.resources.dll","es"
"DevExpress.Wpf.Carousel","18.2.6","DevExpress.Xpf.Carousel.v18.2.dll","net452"
"DevExpress.Win.TreeMap","18.2.6","DevExpress.XtraTreeMap.v18.2.dll","net452"
"DevExpress.Win.Spreadsheet.ru","18.2.6","DevExpress.XtraSpreadsheet.v18.2.resources.dll","ru"
"DevExpress.Wpf.Charts.Designer","18.2.6","DevExpress.Charts.Designer.v18.2.dll","net452"
"DevExpress.Wpf.Charts.de","18.2.6","DevExpress.Xpf.Charts.v18.2.resources.dll","de"
"DevExpress.Wpf.Charts","18.2.6","DevExpress.Xpf.Charts.v18.2.dll","net452"
"DevExpress.Win.Spreadsheet","18.2.6","DevExpress.XtraSpreadsheet.v18.2.dll","net452"
"DevExpress.Win.SpellChecker.ru","18.2.6","DevExpress.XtraSpellChecker.v18.2.resources.dll","ru"
"DevExpress.Win.SpellChecker.ja","18.2.6","DevExpress.XtraSpellChecker.v18.2.resources.dll","ja"
"DevExpress.Win.Spreadsheet.ja","18.2.6","DevExpress.XtraSpreadsheet.v18.2.resources.dll","ja"
"DevExpress.Win.Spreadsheet.es","18.2.6","DevExpress.XtraSpreadsheet.v18.2.resources.dll","es"
"DevExpress.Win.Spreadsheet.de","18.2.6","DevExpress.XtraSpreadsheet.v18.2.resources.dll","de"
"DevExpress.Win.ru","18.2.6","DevExpress.XtraWizard.v18.2.resources.dll","ru"
"DevExpress.Win.ru","18.2.6","DevExpress.XtraVerticalGrid.v18.2.resources.dll","ru"
"DevExpress.Win.ru","18.2.6","DevExpress.XtraTreeList.v18.2.resources.dll","ru"
"DevExpress.Win.Scheduler.de","18.2.6","DevExpress.XtraScheduler.v18.2.Extensions.resources.dll","de"
"DevExpress.Win.Scheduler","18.2.6","DevExpress.XtraScheduler.v18.2.Extensions.dll","net452"
"DevExpress.Win.Scheduler","18.2.6","DevExpress.XtraScheduler.v18.2.dll","net452"
"DevExpress.Win.ru","18.2.6","DevExpress.XtraLayout.v18.2.resources.dll","ru"
"DevExpress.Win.ru","18.2.6","DevExpress.XtraGrid.v18.2.resources.dll","ru"
"DevExpress.Win.ru","18.2.6","DevExpress.XtraEditors.v18.2.resources.dll","ru"
"DevExpress.Win.ru","18.2.6","DevExpress.XtraPrinting.v18.2.resources.dll","ru"
"DevExpress.Win.ru","18.2.6","DevExpress.XtraPivotGrid.v18.2.resources.dll","ru"
"DevExpress.Win.ru","18.2.6","DevExpress.XtraNavBar.v18.2.resources.dll","ru"
"DevExpress.Win.Scheduler.de","18.2.6","DevExpress.XtraScheduler.v18.2.resources.dll","de"
"DevExpress.Win.SchedulerReporting.de","18.2.6","DevExpress.XtraScheduler.v18.2.Reporting.resources.dll","de"
"DevExpress.Win.SchedulerReporting","18.2.6","DevExpress.XtraScheduler.v18.2.Reporting.Extensions.dll","net452"
"DevExpress.Win.SchedulerReporting","18.2.6","DevExpress.XtraScheduler.v18.2.Reporting.dll","net452"
"DevExpress.Win.SchedulerReporting.ru","18.2.6","DevExpress.XtraScheduler.v18.2.Reporting.resources.dll","ru"
"DevExpress.Win.SchedulerReporting.ja","18.2.6","DevExpress.XtraScheduler.v18.2.Reporting.resources.dll","ja"
"DevExpress.Win.SchedulerReporting.es","18.2.6","DevExpress.XtraScheduler.v18.2.Reporting.resources.dll","es"
"DevExpress.Win.Scheduler.ja","18.2.6","DevExpress.XtraScheduler.v18.2.Extensions.resources.dll","ja"
"DevExpress.Win.Scheduler.es","18.2.6","DevExpress.XtraScheduler.v18.2.resources.dll","es"
"DevExpress.Win.Scheduler.es","18.2.6","DevExpress.XtraScheduler.v18.2.Extensions.resources.dll","es"
"DevExpress.Win.Scheduler.ru","18.2.6","DevExpress.XtraScheduler.v18.2.resources.dll","ru"
"DevExpress.Win.Scheduler.ru","18.2.6","DevExpress.XtraScheduler.v18.2.Extensions.resources.dll","ru"
"DevExpress.Win.Scheduler.ja","18.2.6","DevExpress.XtraScheduler.v18.2.resources.dll","ja"
"DevExpress.Wpf.Grid.Core.ja","18.2.6","DevExpress.Xpf.Grid.v18.2.Core.resources.dll","ja"
"DevExpress.Wpf.Grid.Core.es","18.2.6","DevExpress.Xpf.Grid.v18.2.Core.resources.dll","es"
"DevExpress.Wpf.Grid.Core.de","18.2.6","DevExpress.Xpf.Grid.v18.2.Core.resources.dll","de"
"DevExpress.Wpf.Layout.de","18.2.6","DevExpress.Xpf.LayoutControl.v18.2.resources.dll","de"
"DevExpress.Wpf.Layout","18.2.6","DevExpress.Xpf.LayoutControl.v18.2.dll","net452"
"DevExpress.Wpf.Grid.Core.ru","18.2.6","DevExpress.Xpf.Grid.v18.2.Core.resources.dll","ru"
"DevExpress.Wpf.Gauges.ru","18.2.6","DevExpress.Xpf.Gauges.v18.2.resources.dll","ru"
"DevExpress.Wpf.Gauges.ja","18.2.6","DevExpress.Xpf.Gauges.v18.2.resources.dll","ja"
"DevExpress.Wpf.Gauges.es","18.2.6","DevExpress.Xpf.Gauges.v18.2.resources.dll","es"
"DevExpress.Wpf.Grid.Core","18.2.6","DevExpress.Xpf.Grid.v18.2.Extensions.dll","net452"
"DevExpress.Wpf.Grid.Core","18.2.6","DevExpress.Xpf.Grid.v18.2.dll","net452"
"DevExpress.Wpf.Grid.Core","18.2.6","DevExpress.Xpf.Grid.v18.2.Core.dll","net452"
"DevExpress.Wpf.Layout.es","18.2.6","DevExpress.Xpf.LayoutControl.v18.2.resources.dll","es"
"DevExpress.Wpf.Navigation","18.2.6","DevExpress.Xpf.Ribbon.v18.2.dll","net452"
"DevExpress.Wpf.Navigation","18.2.6","DevExpress.Xpf.NavBar.v18.2.dll","net452"
"DevExpress.Wpf.Navigation","18.2.6","DevExpress.Xpf.Layout.v18.2.Core.dll","net452"
"DevExpress.Wpf.Navigation.de","18.2.6","DevExpress.Xpf.NavBar.v18.2.resources.dll","de"
"DevExpress.Wpf.Navigation.de","18.2.6","DevExpress.Xpf.Docking.v18.2.resources.dll","de"
"DevExpress.Wpf.Navigation.de","18.2.6","DevExpress.Xpf.Controls.v18.2.resources.dll","de"
"DevExpress.Wpf.Map","18.2.6","DevExpress.Xpf.Map.v18.2.dll","net452"
"DevExpress.Wpf.Layout.ru","18.2.6","DevExpress.Xpf.LayoutControl.v18.2.resources.dll","ru"
"DevExpress.Wpf.Layout.ja","18.2.6","DevExpress.Xpf.LayoutControl.v18.2.resources.dll","ja"
"DevExpress.Wpf.Navigation","18.2.6","DevExpress.Xpf.Docking.v18.2.dll","net452"
"DevExpress.Wpf.Navigation","18.2.6","DevExpress.Xpf.Controls.v18.2.dll","net452"
"DevExpress.Wpf.Navigation","18.2.6","DevExpress.Xpf.Accordion.v18.2.dll","net452"
"DevExpress.Wpf.Core","18.2.6","DevExpress.Xpf.Core.v18.2.Extensions.dll","net452"
"DevExpress.Wpf.Core","18.2.6","DevExpress.Xpf.Core.v18.2.dll","net452"
"DevExpress.Wpf.Charts.ru","18.2.6","DevExpress.Xpf.Charts.v18.2.resources.dll","ru"
"DevExpress.Wpf.Core.ja","18.2.6","DevExpress.Xpf.Core.v18.2.resources.dll","ja"
"DevExpress.Wpf.Core.es","18.2.6","DevExpress.Xpf.Core.v18.2.resources.dll","es"
"DevExpress.Wpf.Core.de","18.2.6","DevExpress.Xpf.Core.v18.2.resources.dll","de"
"DevExpress.Wpf.Charts.Designer.ja","18.2.6","DevExpress.Charts.Designer.v18.2.resources.dll","ja"
"DevExpress.Wpf.Charts.Designer.es","18.2.6","DevExpress.Charts.Designer.v18.2.resources.dll","es"
"DevExpress.Wpf.Charts.Designer.de","18.2.6","DevExpress.Charts.Designer.v18.2.resources.dll","de"
"DevExpress.Wpf.Charts.ja","18.2.6","DevExpress.Xpf.Charts.v18.2.resources.dll","ja"
"DevExpress.Wpf.Charts.es","18.2.6","DevExpress.Xpf.Charts.v18.2.resources.dll","es"
"DevExpress.Wpf.Charts.Designer.ru","18.2.6","DevExpress.Charts.Designer.v18.2.resources.dll","ru"
"DevExpress.Wpf.Core.ru","18.2.6","DevExpress.Xpf.Core.v18.2.resources.dll","ru"
"DevExpress.Wpf.DocumentViewer.Core.ru","18.2.6","DevExpress.Xpf.DocumentViewer.v18.2.Core.resources.dll","ru"
"DevExpress.Wpf.DocumentViewer.Core.ja","18.2.6","DevExpress.Xpf.DocumentViewer.v18.2.Core.resources.dll","ja"
"DevExpress.Wpf.DocumentViewer.Core.es","18.2.6","DevExpress.Xpf.DocumentViewer.v18.2.Core.resources.dll","es"
"DevExpress.Wpf.Gauges.de","18.2.6","DevExpress.Xpf.Gauges.v18.2.resources.dll","de"
"DevExpress.Wpf.Gauges","18.2.6","DevExpress.Xpf.Gauges.v18.2.dll","net452"
"DevExpress.Wpf.ExpressionEditor","18.2.6","DevExpress.Xpf.ExpressionEditor.v18.2.dll","net452"
"DevExpress.Wpf.Diagram","18.2.6","DevExpress.Xpf.Diagram.v18.2.dll","net452"
"DevExpress.Wpf.Dashboard","18.2.6","DevExpress.Xpf.Dashboard.v18.2.dll","net452"
"DevExpress.Wpf.Dashboard","18.2.6","DevExpress.Dashboard.v18.2.Wpf.dll","net452"
"DevExpress.Wpf.DocumentViewer.Core.de","18.2.6","DevExpress.Xpf.DocumentViewer.v18.2.Core.resources.dll","de"
"DevExpress.Wpf.DocumentViewer.Core","18.2.6","DevExpress.Xpf.DocumentViewer.v18.2.Core.dll","net452"
"DevExpress.Wpf.Dialogs","18.2.6","DevExpress.Xpf.Dialogs.v18.2.dll","net452"
"DevExpress.Scheduler.Core.de","18.2.6","DevExpress.XtraScheduler.v18.2.Core.resources.dll","de"
"DevExpress.ExpressApp.Kpi.ja","18.2.6","DevExpress.ExpressApp.Kpi.v18.2.resources.dll","ja"
"DevExpress.ExpressApp.Kpi.es","18.2.6","DevExpress.ExpressApp.Kpi.v18.2.resources.dll","es"
"DevExpress.ExpressApp.Kpi.de","18.2.6","DevExpress.ExpressApp.Kpi.v18.2.resources.dll","de"
"DevExpress.ExpressApp.Maps.Mobile","18.2.6","DevExpress.ExpressApp.Maps.Mobile.v18.2.dll","net452"
"DevExpress.ExpressApp.Localization.Mobile","18.2.6","DevExpress.ExpressApp.Localization.Mobile.v18.2.dll","net452"
"DevExpress.ExpressApp.Kpi.ru","18.2.6","DevExpress.ExpressApp.Kpi.v18.2.resources.dll","ru"
"DevExpress.ExpressApp.HtmlPropertyEditor.Win.ru","18.2.6","DevExpress.ExpressApp.HtmlPropertyEditor.Win.v18.2.resources.dll","ru"
"DevExpress.ExpressApp.HtmlPropertyEditor.Win.ja","18.2.6","DevExpress.ExpressApp.HtmlPropertyEditor.Win.v18.2.resources.dll","ja"
"DevExpress.ExpressApp.HtmlPropertyEditor.Win.es","18.2.6","DevExpress.ExpressApp.HtmlPropertyEditor.Win.v18.2.resources.dll","es"
"DevExpress.ExpressApp.Kpi","18.2.6","DevExpress.ExpressApp.Kpi.v18.2.dll","net452"
"DevExpress.ExpressApp.ja","18.2.6","DevExpress.ExpressApp.v18.2.resources.dll","ja"
"DevExpress.ExpressApp.Images","18.2.6","DevExpress.ExpressApp.Images.v18.2.dll","net452"
"DevExpress.ExpressApp.Maps.Mobile.de","18.2.6","DevExpress.ExpressApp.Maps.Mobile.v18.2.resources.dll","de"
"DevExpress.ExpressApp.Mobile.ja","18.2.6","DevExpress.ExpressApp.Mobile.v18.2.resources.dll","ja"
"DevExpress.ExpressApp.Mobile.es","18.2.6","DevExpress.ExpressApp.Mobile.v18.2.resources.dll","es"
"DevExpress.ExpressApp.Mobile.de","18.2.6","DevExpress.ExpressApp.Mobile.v18.2.resources.dll","de"
"DevExpress.ExpressApp.Notifications.de","18.2.6","DevExpress.ExpressApp.Notifications.v18.2.resources.dll","de"
"DevExpress.ExpressApp.Notifications","18.2.6","DevExpress.ExpressApp.Notifications.v18.2.dll","net452"
"DevExpress.ExpressApp.Mobile.ru","18.2.6","DevExpress.ExpressApp.Mobile.v18.2.resources.dll","ru"
"DevExpress.ExpressApp.Maps.Web","18.2.6","DevExpress.ExpressApp.Maps.Web.v18.2.dll","net452"
"DevExpress.ExpressApp.Maps.Mobile.ru","18.2.6","DevExpress.ExpressApp.Maps.Mobile.v18.2.resources.dll","ru"
"DevExpress.ExpressApp.Maps.Mobile.es","18.2.6","DevExpress.ExpressApp.Maps.Mobile.v18.2.resources.dll","es"
"DevExpress.ExpressApp.Mobile","18.2.6","DevExpress.ExpressApp.Mobile.v18.2.dll","net452"
"DevExpress.ExpressApp.Maps.Web.ru","18.2.6","DevExpress.ExpressApp.Maps.Web.v18.2.resources.dll","ru"
"DevExpress.ExpressApp.Maps.Web.de","18.2.6","DevExpress.ExpressApp.Maps.Web.v18.2.resources.dll","de"
"DevExpress.ExpressApp.de","18.2.6","DevExpress.ExpressApp.v18.2.resources.dll","de"
"DevExpress.ExpressApp.DataService","18.2.6","DevExpress.ExpressApp.DataService.v18.2.dll","net452"
"DevExpress.ExpressApp.Dashboards.Win.ru","18.2.6","DevExpress.ExpressApp.Dashboards.Win.v18.2.resources.dll","ru"
"DevExpress.ExpressApp.FileAttachment.Mobile","18.2.6","DevExpress.ExpressApp.FileAttachment.Mobile.v18.2.dll","net452"
"DevExpress.ExpressApp.es","18.2.6","DevExpress.ExpressApp.v18.2.resources.dll","es"
"DevExpress.ExpressApp.EF","18.2.6","DevExpress.ExpressApp.EF.v18.2.dll","net452"
"DevExpress.ExpressApp.Dashboards.Win","18.2.6","DevExpress.ExpressApp.Dashboards.Win.v18.2.dll","net452"
"DevExpress.ExpressApp.Dashboards.Web.ru","18.2.6","DevExpress.ExpressApp.Dashboards.Web.v18.2.resources.dll","ru"
"DevExpress.ExpressApp.Dashboards.Web.ja","18.2.6","DevExpress.ExpressApp.Dashboards.Web.v18.2.resources.dll","ja"
"DevExpress.ExpressApp.Dashboards.Win.ja","18.2.6","DevExpress.ExpressApp.Dashboards.Win.v18.2.resources.dll","ja"
"DevExpress.ExpressApp.Dashboards.Win.es","18.2.6","DevExpress.ExpressApp.Dashboards.Win.v18.2.resources.dll","es"
"DevExpress.ExpressApp.Dashboards.Win.de","18.2.6","DevExpress.ExpressApp.Dashboards.Win.v18.2.resources.dll","de"
"DevExpress.ExpressApp.FileAttachment.Web","18.2.6","DevExpress.ExpressApp.FileAttachment.Web.v18.2.dll","net452"
"DevExpress.ExpressApp.FileAttachment.Win.ru","18.2.6","DevExpress.ExpressApp.FileAttachment.Win.v18.2.resources.dll","ru"
"DevExpress.ExpressApp.FileAttachment.Win.ja","18.2.6","DevExpress.ExpressApp.FileAttachment.Win.v18.2.resources.dll","ja"
"DevExpress.ExpressApp.FileAttachment.Win.es","18.2.6","DevExpress.ExpressApp.FileAttachment.Win.v18.2.resources.dll","es"
"DevExpress.ExpressApp.HtmlPropertyEditor.Win.de","18.2.6","DevExpress.ExpressApp.HtmlPropertyEditor.Win.v18.2.resources.dll","de"
"DevExpress.ExpressApp.HtmlPropertyEditor.Win","18.2.6","DevExpress.ExpressApp.HtmlPropertyEditor.Win.v18.2.dll","net452"
"DevExpress.ExpressApp.HtmlPropertyEditor.Web","18.2.6","DevExpress.ExpressApp.HtmlPropertyEditor.Web.v18.2.dll","net452"
"DevExpress.ExpressApp.FileAttachment.Web.ja","18.2.6","DevExpress.ExpressApp.FileAttachment.Web.v18.2.resources.dll","ja"
"DevExpress.ExpressApp.FileAttachment.Web.es","18.2.6","DevExpress.ExpressApp.FileAttachment.Web.v18.2.resources.dll","es"
"DevExpress.ExpressApp.FileAttachment.Web.de","18.2.6","DevExpress.ExpressApp.FileAttachment.Web.v18.2.resources.dll","de"
"DevExpress.ExpressApp.FileAttachment.Win.de","18.2.6","DevExpress.ExpressApp.FileAttachment.Win.v18.2.resources.dll","de"
"DevExpress.ExpressApp.FileAttachment.Win","18.2.6","DevExpress.ExpressApp.FileAttachment.Win.v18.2.dll","net452"
"DevExpress.ExpressApp.FileAttachment.Web.ru","18.2.6","DevExpress.ExpressApp.FileAttachment.Web.v18.2.resources.dll","ru"
"DevExpress.ExpressApp.PivotChart.Win.ru","18.2.6","DevExpress.ExpressApp.PivotChart.Win.v18.2.resources.dll","ru"
"DevExpress.ExpressApp.PivotChart.Win.ja","18.2.6","DevExpress.ExpressApp.PivotChart.Win.v18.2.resources.dll","ja"
"DevExpress.ExpressApp.PivotChart.Win.es","18.2.6","DevExpress.ExpressApp.PivotChart.Win.v18.2.resources.dll","es"
"DevExpress.ExpressApp.PivotGrid.ja","18.2.6","DevExpress.ExpressApp.PivotGrid.v18.2.resources.dll","ja"
"DevExpress.ExpressApp.PivotGrid.de","18.2.6","DevExpress.ExpressApp.PivotGrid.v18.2.resources.dll","de"
"DevExpress.ExpressApp.PivotGrid","18.2.6","DevExpress.ExpressApp.PivotGrid.v18.2.dll","net452"
"DevExpress.ExpressApp.PivotChart.Web.ja","18.2.6","DevExpress.ExpressApp.PivotChart.Web.v18.2.resources.dll","ja"
"DevExpress.ExpressApp.PivotChart.Web.es","18.2.6","DevExpress.ExpressApp.PivotChart.Web.v18.2.resources.dll","es"
"DevExpress.ExpressApp.PivotChart.Web.de","18.2.6","DevExpress.ExpressApp.PivotChart.Web.v18.2.resources.dll","de"
"DevExpress.ExpressApp.PivotChart.Win.de","18.2.6","DevExpress.ExpressApp.PivotChart.Win.v18.2.resources.dll","de"
"DevExpress.ExpressApp.PivotChart.Win","18.2.6","DevExpress.ExpressApp.PivotChart.Win.v18.2.dll","net452"
"DevExpress.ExpressApp.PivotChart.Web.ru","18.2.6","DevExpress.ExpressApp.PivotChart.Web.v18.2.resources.dll","ru"
"DevExpress.ExpressApp.PivotGrid.ru","18.2.6","DevExpress.ExpressApp.PivotGrid.v18.2.resources.dll","ru"
"DevExpress.ExpressApp.ReportsV2.ru","18.2.6","DevExpress.ExpressApp.ReportsV2.v18.2.resources.dll","ru"
"DevExpress.ExpressApp.ReportsV2.Mobile","18.2.6","DevExpress.ExpressApp.ReportsV2.Mobile.v18.2.dll","net452"
"DevExpress.ExpressApp.ReportsV2.ja","18.2.6","DevExpress.ExpressApp.ReportsV2.v18.2.resources.dll","ja"
"DevExpress.ExpressApp.ReportsV2.Web.es","18.2.6","DevExpress.ExpressApp.ReportsV2.Web.v18.2.resources.dll","es"
"DevExpress.ExpressApp.ReportsV2.Web.de","18.2.6","DevExpress.ExpressApp.ReportsV2.Web.v18.2.resources.dll","de"
"DevExpress.ExpressApp.ReportsV2.Web","18.2.6","DevExpress.ExpressApp.ReportsV2.Web.v18.2.dll","net452"
"DevExpress.ExpressApp.PivotGrid.Win","18.2.6","DevExpress.ExpressApp.PivotGrid.Win.v18.2.dll","net452"
"DevExpress.ExpressApp.PivotGrid.Web.ru","18.2.6","DevExpress.ExpressApp.PivotGrid.Web.v18.2.resources.dll","ru"
"DevExpress.ExpressApp.PivotGrid.Web","18.2.6","DevExpress.ExpressApp.PivotGrid.Web.v18.2.dll","net452"
"DevExpress.ExpressApp.ReportsV2.es","18.2.6","DevExpress.ExpressApp.ReportsV2.v18.2.resources.dll","es"
"DevExpress.ExpressApp.ReportsV2.de","18.2.6","DevExpress.ExpressApp.ReportsV2.v18.2.resources.dll","de"
"DevExpress.ExpressApp.ReportsV2","18.2.6","DevExpress.ExpressApp.ReportsV2.v18.2.dll","net452"
"DevExpress.ExpressApp.Notifications.Win","18.2.6","DevExpress.ExpressApp.Notifications.Win.v18.2.dll","net452"
"DevExpress.ExpressApp.Notifications.Web.ru","18.2.6","DevExpress.ExpressApp.Notifications.Web.v18.2.resources.dll","ru"
"DevExpress.ExpressApp.Notifications.Web.ja","18.2.6","DevExpress.ExpressApp.Notifications.Web.v18.2.resources.dll","ja"
"DevExpress.ExpressApp.Objects.es","18.2.6","DevExpress.ExpressApp.Objects.v18.2.resources.dll","es"
"DevExpress.ExpressApp.Objects.de","18.2.6","DevExpress.ExpressApp.Objects.v18.2.resources.dll","de"
"DevExpress.ExpressApp.Objects","18.2.6","DevExpress.ExpressApp.Objects.v18.2.dll","net452"
"DevExpress.ExpressApp.Notifications.ru","18.2.6","DevExpress.ExpressApp.Notifications.v18.2.resources.dll","ru"
"DevExpress.ExpressApp.Notifications.ja","18.2.6","DevExpress.ExpressApp.Notifications.v18.2.resources.dll","ja"
"DevExpress.ExpressApp.Notifications.es","18.2.6","DevExpress.ExpressApp.Notifications.v18.2.resources.dll","es"
"DevExpress.ExpressApp.Notifications.Web.es","18.2.6","DevExpress.ExpressApp.Notifications.Web.v18.2.resources.dll","es"
"DevExpress.ExpressApp.Notifications.Web.de","18.2.6","DevExpress.ExpressApp.Notifications.Web.v18.2.resources.dll","de"
"DevExpress.ExpressApp.Notifications.Web","18.2.6","DevExpress.ExpressApp.Notifications.Web.v18.2.dll","net452"
"DevExpress.ExpressApp.Objects.ja","18.2.6","DevExpress.ExpressApp.Objects.v18.2.resources.dll","ja"
"DevExpress.ExpressApp.PivotChart.es","18.2.6","DevExpress.ExpressApp.PivotChart.v18.2.resources.dll","es"
"DevExpress.ExpressApp.PivotChart.de","18.2.6","DevExpress.ExpressApp.PivotChart.v18.2.resources.dll","de"
"DevExpress.ExpressApp.PivotChart","18.2.6","DevExpress.ExpressApp.PivotChart.v18.2.dll","net452"
"DevExpress.ExpressApp.PivotChart.Web","18.2.6","DevExpress.ExpressApp.PivotChart.Web.v18.2.dll","net452"
"DevExpress.ExpressApp.PivotChart.ru","18.2.6","DevExpress.ExpressApp.PivotChart.v18.2.resources.dll","ru"
"DevExpress.ExpressApp.PivotChart.ja","18.2.6","DevExpress.ExpressApp.PivotChart.v18.2.resources.dll","ja"
"DevExpress.ExpressApp.Office.Win.de","18.2.6","DevExpress.ExpressApp.Office.Win.v18.2.resources.dll","de"
"DevExpress.ExpressApp.Office.Win","18.2.6","DevExpress.ExpressApp.Office.Win.v18.2.dll","net452"
"DevExpress.ExpressApp.Objects.ru","18.2.6","DevExpress.ExpressApp.Objects.v18.2.resources.dll","ru"
