#TYPE System.Management.Automation.PSCustomObject
"Package","Version","Assembly","Framework"
"DevExpress.Win.RichEdit.ja","18.2.6","DevExpress.XtraRichEdit.v18.2.Extensions.resources.dll","ja"
"DevExpress.Win.RichEdit.es","18.2.6","DevExpress.XtraRichEdit.v18.2.resources.dll","es"
"DevExpress.Win.RichEdit.es","18.2.6","DevExpress.XtraRichEdit.v18.2.Extensions.resources.dll","es"
"DevExpress.Win.RichEdit.ru","18.2.6","DevExpress.XtraRichEdit.v18.2.resources.dll","ru"
"DevExpress.Win.RichEdit.ru","18.2.6","DevExpress.XtraRichEdit.v18.2.Extensions.resources.dll","ru"
"DevExpress.Win.RichEdit.ja","18.2.6","DevExpress.XtraRichEdit.v18.2.resources.dll","ja"
"DevExpress.Win.RichEdit","18.2.6","DevExpress.XtraRichEdit.v18.2.dll","net452"
"DevExpress.Win.Reporting.ru","18.2.6","DevExpress.XtraReports.v18.2.Extensions.resources.dll","ru"
"DevExpress.Win.Reporting.ja","18.2.6","DevExpress.XtraReports.v18.2.Extensions.resources.dll","ja"
"DevExpress.Win.RichEdit.de","18.2.6","DevExpress.XtraRichEdit.v18.2.resources.dll","de"
"DevExpress.Win.RichEdit.de","18.2.6","DevExpress.XtraRichEdit.v18.2.Extensions.resources.dll","de"
"DevExpress.Win.RichEdit","18.2.6","DevExpress.XtraRichEdit.v18.2.Extensions.dll","net452"
"DevExpress.Win.es","18.2.6","DevExpress.XtraPivotGrid.v18.2.resources.dll","es"
"DevExpress.Win.es","18.2.6","DevExpress.XtraNavBar.v18.2.resources.dll","es"
"DevExpress.Win.es","18.2.6","DevExpress.XtraLayout.v18.2.resources.dll","es"
"DevExpress.Win.es","18.2.6","DevExpress.XtraVerticalGrid.v18.2.resources.dll","es"
"DevExpress.Win.es","18.2.6","DevExpress.XtraTreeList.v18.2.resources.dll","es"
"DevExpress.Win.es","18.2.6","DevExpress.XtraPrinting.v18.2.resources.dll","es"
"DevExpress.Win.Dialogs.Core.ru","18.2.6","DevExpress.Dialogs.v18.2.Core.resources.dll","ru"
"DevExpress.Win.Dialogs.Core.ja","18.2.6","DevExpress.Dialogs.v18.2.Core.resources.dll","ja"
"DevExpress.Win.Dialogs.Core.es","18.2.6","DevExpress.Dialogs.v18.2.Core.resources.dll","es"
"DevExpress.Win.es","18.2.6","DevExpress.XtraGrid.v18.2.resources.dll","es"
"DevExpress.Win.es","18.2.6","DevExpress.XtraEditors.v18.2.resources.dll","es"
"DevExpress.Win.es","18.2.6","DevExpress.XtraBars.v18.2.resources.dll","es"
"DevExpress.Win.es","18.2.6","DevExpress.XtraWizard.v18.2.resources.dll","es"
"DevExpress.Win.ja","18.2.6","DevExpress.XtraGrid.v18.2.resources.dll","ja"
"DevExpress.Win.ja","18.2.6","DevExpress.XtraEditors.v18.2.resources.dll","ja"
"DevExpress.Win.ja","18.2.6","DevExpress.XtraBars.v18.2.resources.dll","ja"
"DevExpress.Win.ja","18.2.6","DevExpress.XtraPivotGrid.v18.2.resources.dll","ja"
"DevExpress.Win.ja","18.2.6","DevExpress.XtraNavBar.v18.2.resources.dll","ja"
"DevExpress.Win.ja","18.2.6","DevExpress.XtraLayout.v18.2.resources.dll","ja"
"DevExpress.Win.Gauges.de","18.2.6","DevExpress.XtraGauges.v18.2.Presets.resources.dll","de"
"DevExpress.Win.Gauges","18.2.6","DevExpress.XtraGauges.v18.2.Win.dll","net452"
"DevExpress.Win.Gauges","18.2.6","DevExpress.XtraGauges.v18.2.Presets.dll","net452"
"DevExpress.Win.Gauges.ru","18.2.6","DevExpress.XtraGauges.v18.2.Presets.resources.dll","ru"
"DevExpress.Win.Gauges.ja","18.2.6","DevExpress.XtraGauges.v18.2.Presets.resources.dll","ja"
"DevExpress.Win.Gauges.es","18.2.6","DevExpress.XtraGauges.v18.2.Presets.resources.dll","es"
"DevExpress.Utils.es","18.2.6","DevExpress.Utils.v18.2.resources.dll","es"
"DevExpress.Utils.de","18.2.6","DevExpress.Utils.v18.2.resources.dll","de"
"DevExpress.Utils","18.2.6","DevExpress.Utils.v18.2.dll","net452"
"DevExpress.Utils.UI","18.2.6","DevExpress.Utils.v18.2.UI.dll","net452"
"DevExpress.Utils.ru","18.2.6","DevExpress.Utils.v18.2.resources.dll","ru"
"DevExpress.Utils.ja","18.2.6","DevExpress.Utils.v18.2.resources.dll","ja"
"DevExpress.Spreadsheet.Core.ru","18.2.6","DevExpress.Spreadsheet.v18.2.Core.resources.dll","ru"
"DevExpress.Spreadsheet.Core.ja","18.2.6","DevExpress.Spreadsheet.v18.2.Core.resources.dll","ja"
"DevExpress.Spreadsheet.Core.es","18.2.6","DevExpress.Spreadsheet.v18.2.Core.resources.dll","es"
"DevExpress.TreeMap.NetStandard","18.2.6","DevExpress.XtraTreeMap.v18.2.dll","netstandard2.0"
"DevExpress.TreeMap.Core","18.2.6","DevExpress.TreeMap.v18.2.Core.dll","netstandard2.0"
"DevExpress.TreeMap.Core","18.2.6","DevExpress.TreeMap.v18.2.Core.dll","net452"
"DevExpress.Utils.UI.de","18.2.6","DevExpress.Utils.v18.2.UI.resources.dll","de"
"DevExpress.Web","18.2.6","DevExpress.Web.v18.2.dll","net452"
"DevExpress.Web","18.2.6","DevExpress.Web.Resources.v18.2.dll","net452"
"DevExpress.Web","18.2.6","DevExpress.Web.ASPxTreeList.v18.2.dll","net452"
"DevExpress.Web.Dashboard.Common","18.2.6","DevExpress.Dashboard.v18.2.Web.dll","net452"
"DevExpress.Web.Dashboard","18.2.6","DevExpress.Dashboard.v18.2.Web.WebForms.dll","net452"
"DevExpress.Web.Bootstrap","18.2.6","DevExpress.Web.Bootstrap.v18.2.dll","net452"
"DevExpress.Utils.UI.ru","18.2.6","DevExpress.Utils.v18.2.UI.resources.dll","ru"
"DevExpress.Utils.UI.ja","18.2.6","DevExpress.Utils.v18.2.UI.resources.dll","ja"
"DevExpress.Utils.UI.es","18.2.6","DevExpress.Utils.v18.2.UI.resources.dll","es"
"DevExpress.Web","18.2.6","DevExpress.Web.ASPxSpellChecker.v18.2.dll","net452"
"DevExpress.Web","18.2.6","DevExpress.Web.ASPxPivotGrid.v18.2.dll","net452"
"DevExpress.Web","18.2.6","DevExpress.Web.ASPxHtmlEditor.v18.2.dll","net452"
"DevExpress.Snap.Core.es","18.2.6","DevExpress.Snap.v18.2.Core.resources.dll","es"
"DevExpress.Snap.Core.de","18.2.6","DevExpress.Snap.v18.2.Core.resources.dll","de"
"DevExpress.Snap.Core","18.2.6","DevExpress.Snap.v18.2.Core.dll","net452"
"DevExpress.Sparkline.Core","18.2.6","DevExpress.Sparkline.v18.2.Core.dll","net452"
"DevExpress.Snap.Core.ru","18.2.6","DevExpress.Snap.v18.2.Core.resources.dll","ru"
"DevExpress.Snap.Core.ja","18.2.6","DevExpress.Snap.v18.2.Core.resources.dll","ja"
"DevExpress.Scheduler.Core.ja","18.2.6","DevExpress.XtraScheduler.v18.2.Core.resources.dll","ja"
"DevExpress.Scheduler.Core.es","18.2.6","DevExpress.XtraScheduler.v18.2.Core.resources.dll","es"
"DevExpress.Scheduler.Core.es","18.2.6","DevExpress.XtraScheduler.v18.2.Core.resources.dll","es"
"DevExpress.Scheduler.Core.ru","18.2.6","DevExpress.XtraScheduler.v18.2.Core.resources.dll","ru"
"DevExpress.Scheduler.Core.ru","18.2.6","DevExpress.XtraScheduler.v18.2.Core.resources.dll","ru"
"DevExpress.Scheduler.Core.ja","18.2.6","DevExpress.XtraScheduler.v18.2.Core.resources.dll","ja"
"DevExpress.Sparkline.Core","18.2.6","DevExpress.Sparkline.v18.2.Core.dll","netstandard2.0"
"DevExpress.SpellChecker.Core","18.2.6","DevExpress.SpellChecker.v18.2.Core.dll","net452"
"DevExpress.Sparkline.Core.ru","18.2.6","DevExpress.Sparkline.v18.2.Core.resources.dll","ru"
