"Package","Version","Assembly","DotNetFramework"
"devexpress.document.processor","17.1.10","DevExpress.Docs.v17.1.dll",".NETFramework,Version=v4.0"
"devexpress.pdf.drawing","17.1.10","DevExpress.Pdf.v17.1.Drawing.dll",".NETFramework,Version=v4.0"
"devexpress.images","17.1.10","DevExpress.Images.v17.1.dll",".NETFramework,Version=v4.0"
"devexpress.mvvm","17.1.10","DevExpress.Mvvm.v17.1.dll",".NETFramework,Version=v4.0"
"devexpress.reporting.core.de","17.1.10","DevExpress.XtraReports.v17.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.reporting.core.ja","17.1.10","DevExpress.XtraReports.v17.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.reporting.core","17.1.10","DevExpress.RichEdit.v17.1.Export.dll",".NETFramework,Version=v4.0"
"devexpress.reporting.core","17.1.10","DevExpress.XtraReports.v17.1.dll",".NETFramework,Version=v4.0"
"devexpress.reporting.core.es","17.1.10","DevExpress.XtraReports.v17.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.reporting.core.ru","17.1.10","DevExpress.XtraReports.v17.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.bootstrap","17.1.10","DevExpress.Web.Bootstrap.v17.1.dll",".NETFramework,Version=v4.0"
"devexpress.web.dashboard.de","17.1.10","DevExpress.Dashboard.v17.1.Web.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.dashboard.ja","17.1.10","DevExpress.Dashboard.v17.1.Web.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.de","17.1.10","DevExpress.Web.ASPxHtmlEditor.v17.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.de","17.1.10","DevExpress.Web.ASPxSpellChecker.v17.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.de","17.1.10","DevExpress.Web.ASPxTreeList.v17.1.resources.dll",".NETFramework,Version=v4.0"
