"Package","Assembly","DotNetFramework"
"devexpress.web.es","DevExpress.Web.ASPxHtmlEditor.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.es","DevExpress.Web.ASPxSpellChecker.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.es","DevExpress.Web.ASPxTreeList.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.es","DevExpress.Web.Resources.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.es","DevExpress.Web.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.ja","DevExpress.Web.ASPxHtmlEditor.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.ja","DevExpress.Web.ASPxSpellChecker.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.ja","DevExpress.Web.ASPxTreeList.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.ja","DevExpress.Web.Resources.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.ja","DevExpress.Web.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.mvc.dashboard","DevExpress.Dashboard.v17.2.Web.Mvc.dll",".NETFramework,Version=v4.0"
"devexpress.web.mvc","DevExpress.Web.Mvc.v17.2.dll",".NETFramework,Version=v4.0"
"devexpress.web.mvc5.dashboard","DevExpress.Dashboard.v17.2.Web.Mvc5.dll",".NETFramework,Version=v4.0"
"devexpress.web.mvc5","DevExpress.Web.Mvc5.v17.2.dll",".NETFramework,Version=v4.0"
"devexpress.web.office.de","DevExpress.Web.ASPxRichEdit.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.office.de","DevExpress.Web.ASPxSpreadsheet.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.office.ja","DevExpress.Web.ASPxRichEdit.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.office.ja","DevExpress.Web.ASPxSpreadsheet.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.office.es","DevExpress.Web.ASPxRichEdit.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.office.es","DevExpress.Web.ASPxSpreadsheet.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.office","DevExpress.Web.ASPxRichEdit.v17.2.dll",".NETFramework,Version=v4.0"
"devexpress.web.office","DevExpress.Web.ASPxSpreadsheet.v17.2.dll",".NETFramework,Version=v4.0"
"devexpress.web.office.ru","DevExpress.Web.ASPxRichEdit.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.office.ru","DevExpress.Web.ASPxSpreadsheet.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.reporting.es","DevExpress.XtraReports.v17.2.Web.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.reporting","DevExpress.XtraReports.v17.2.Web.dll",".NETFramework,Version=v4.0"
"devexpress.web.reporting.de","DevExpress.XtraReports.v17.2.Web.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.reporting.ru","DevExpress.XtraReports.v17.2.Web.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.reporting.ja","DevExpress.XtraReports.v17.2.Web.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.scheduler","DevExpress.Web.ASPxScheduler.v17.2.dll",".NETFramework,Version=v4.0"
"devexpress.web.ru","DevExpress.Web.ASPxHtmlEditor.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.ru","DevExpress.Web.ASPxSpellChecker.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.ru","DevExpress.Web.ASPxTreeList.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.ru","DevExpress.Web.Resources.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.ru","DevExpress.Web.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.scheduler.es","DevExpress.Web.ASPxScheduler.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.scheduler.de","DevExpress.Web.ASPxScheduler.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.scheduler.ru","DevExpress.Web.ASPxScheduler.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.scheduler.ja","DevExpress.Web.ASPxScheduler.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.visualization","DevExpress.Web.ASPxGauges.v17.2.dll",".NETFramework,Version=v4.0"
"devexpress.web.visualization","DevExpress.XtraCharts.v17.2.Web.dll",".NETFramework,Version=v4.0"
"devexpress.win.charts.de","DevExpress.XtraCharts.v17.2.Wizard.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.themes","DevExpress.Web.ASPxThemes.v17.2.dll",".NETFramework,Version=v4.0"
"devexpress.win.charts.ja","DevExpress.XtraCharts.v17.2.Wizard.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.bonusskins","DevExpress.BonusSkins.v17.2.dll",".NETFramework,Version=v4.0"
"devexpress.win.dashboard","DevExpress.Dashboard.v17.2.Win.dll",".NETFramework,Version=v4.0"
"devexpress.win.dashboard.es","DevExpress.Dashboard.v17.2.Win.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.dashboard.ru","DevExpress.Dashboard.v17.2.Win.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.charts.es","DevExpress.XtraCharts.v17.2.Wizard.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.charts","DevExpress.XtraCharts.v17.2.Extensions.dll",".NETFramework,Version=v4.0"
"devexpress.win.charts","DevExpress.XtraCharts.v17.2.UI.dll",".NETFramework,Version=v4.0"
"devexpress.win.charts","DevExpress.XtraCharts.v17.2.Wizard.dll",".NETFramework,Version=v4.0"
"devexpress.win.diagram","DevExpress.XtraDiagram.v17.2.dll",".NETFramework,Version=v4.0"
"devexpress.win","DevExpress.XtraBars.v17.2.dll",".NETFramework,Version=v4.0"
"devexpress.win","DevExpress.XtraEditors.v17.2.dll",".NETFramework,Version=v4.0"
"devexpress.win","DevExpress.XtraGrid.v17.2.dll",".NETFramework,Version=v4.0"
"devexpress.win","DevExpress.XtraLayout.v17.2.dll",".NETFramework,Version=v4.0"
"devexpress.win","DevExpress.XtraNavBar.v17.2.dll",".NETFramework,Version=v4.0"
"devexpress.win","DevExpress.XtraPivotGrid.v17.2.dll",".NETFramework,Version=v4.0"
"devexpress.win","DevExpress.XtraPrinting.v17.2.dll",".NETFramework,Version=v4.0"
"devexpress.win","DevExpress.XtraTreeList.v17.2.dll",".NETFramework,Version=v4.0"
"devexpress.win","DevExpress.XtraVerticalGrid.v17.2.dll",".NETFramework,Version=v4.0"
"devexpress.win","DevExpress.XtraWizard.v17.2.dll",".NETFramework,Version=v4.0"
"devexpress.win.charts.ru","DevExpress.XtraCharts.v17.2.Wizard.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.gauges.ru","DevExpress.XtraGauges.v17.2.Presets.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.dashboard.de","DevExpress.Dashboard.v17.2.Win.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.gauges.es","DevExpress.XtraGauges.v17.2.Presets.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.dashboard.ja","DevExpress.Dashboard.v17.2.Win.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.de","DevExpress.XtraBars.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.de","DevExpress.XtraEditors.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.de","DevExpress.XtraGrid.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.de","DevExpress.XtraLayout.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.de","DevExpress.XtraNavBar.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.de","DevExpress.XtraPivotGrid.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.de","DevExpress.XtraPrinting.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.de","DevExpress.XtraTreeList.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.de","DevExpress.XtraVerticalGrid.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.de","DevExpress.XtraWizard.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.gauges","DevExpress.XtraGauges.v17.2.Presets.dll",".NETFramework,Version=v4.0"
"devexpress.win.gauges","DevExpress.XtraGauges.v17.2.Win.dll",".NETFramework,Version=v4.0"
"devexpress.win.map","DevExpress.XtraMap.v17.2.dll",".NETFramework,Version=v4.0"
"devexpress.win.es","DevExpress.XtraBars.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.es","DevExpress.XtraEditors.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.es","DevExpress.XtraGrid.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.es","DevExpress.XtraLayout.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.es","DevExpress.XtraNavBar.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.es","DevExpress.XtraPivotGrid.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.es","DevExpress.XtraPrinting.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.es","DevExpress.XtraTreeList.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.es","DevExpress.XtraVerticalGrid.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.es","DevExpress.XtraWizard.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.gauges.de","DevExpress.XtraGauges.v17.2.Presets.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.gauges.ja","DevExpress.XtraGauges.v17.2.Presets.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.pdfviewer.de","DevExpress.XtraPdfViewer.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.pdfviewer.ja","DevExpress.XtraPdfViewer.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.ja","DevExpress.XtraBars.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.ja","DevExpress.XtraEditors.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.ja","DevExpress.XtraGrid.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.ja","DevExpress.XtraLayout.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.ja","DevExpress.XtraNavBar.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.ja","DevExpress.XtraPivotGrid.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.ja","DevExpress.XtraPrinting.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.ja","DevExpress.XtraTreeList.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.ja","DevExpress.XtraVerticalGrid.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.ja","DevExpress.XtraWizard.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.pdfviewer","DevExpress.XtraPdfViewer.v17.2.dll",".NETFramework,Version=v4.0"
"devexpress.win.reporting","DevExpress.XtraReports.v17.2.Extensions.dll",".NETFramework,Version=v4.0"
"devexpress.win.reporting.es","DevExpress.XtraReports.v17.2.Extensions.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.pdfviewer.es","DevExpress.XtraPdfViewer.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.reporting.ru","DevExpress.XtraReports.v17.2.Extensions.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.pdfviewer.ru","DevExpress.XtraPdfViewer.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.richedit.de","DevExpress.XtraRichEdit.v17.2.Extensions.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.richedit.de","DevExpress.XtraRichEdit.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.reporting.de","DevExpress.XtraReports.v17.2.Extensions.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.richedit.ja","DevExpress.XtraRichEdit.v17.2.Extensions.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.richedit.ja","DevExpress.XtraRichEdit.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.reporting.ja","DevExpress.XtraReports.v17.2.Extensions.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.ru","DevExpress.XtraBars.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.ru","DevExpress.XtraEditors.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.ru","DevExpress.XtraGrid.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.ru","DevExpress.XtraLayout.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.ru","DevExpress.XtraNavBar.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.ru","DevExpress.XtraPivotGrid.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.ru","DevExpress.XtraPrinting.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.ru","DevExpress.XtraTreeList.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.ru","DevExpress.XtraVerticalGrid.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.ru","DevExpress.XtraWizard.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.richedit","DevExpress.XtraRichEdit.v17.2.dll",".NETFramework,Version=v4.0"
"devexpress.win.richedit","DevExpress.XtraRichEdit.v17.2.Extensions.dll",".NETFramework,Version=v4.0"
"devexpress.win.scheduler.de","DevExpress.XtraScheduler.v17.2.Extensions.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.scheduler.de","DevExpress.XtraScheduler.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.richedit.es","DevExpress.XtraRichEdit.v17.2.Extensions.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.richedit.es","DevExpress.XtraRichEdit.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.richedit.ru","DevExpress.XtraRichEdit.v17.2.Extensions.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.richedit.ru","DevExpress.XtraRichEdit.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.scheduler.ja","DevExpress.XtraScheduler.v17.2.Extensions.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.scheduler.ja","DevExpress.XtraScheduler.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.schedulerreporting","DevExpress.XtraScheduler.v17.2.Reporting.dll",".NETFramework,Version=v4.0"
"devexpress.win.schedulerreporting","DevExpress.XtraScheduler.v17.2.Reporting.Extensions.dll",".NETFramework,Version=v4.0"
"devexpress.win.scheduler","DevExpress.XtraScheduler.v17.2.dll",".NETFramework,Version=v4.0"
"devexpress.win.scheduler","DevExpress.XtraScheduler.v17.2.Extensions.dll",".NETFramework,Version=v4.0"
"devexpress.win.scheduler.es","DevExpress.XtraScheduler.v17.2.Extensions.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.scheduler.es","DevExpress.XtraScheduler.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.schedulerreporting.es","DevExpress.XtraScheduler.v17.2.Reporting.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.schedulerreporting.ru","DevExpress.XtraScheduler.v17.2.Reporting.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.scheduler.ru","DevExpress.XtraScheduler.v17.2.Extensions.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.scheduler.ru","DevExpress.XtraScheduler.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.snap.de","DevExpress.Snap.v17.2.Extensions.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.snap.de","DevExpress.Snap.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.schedulerreporting.de","DevExpress.XtraScheduler.v17.2.Reporting.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.snap.ja","DevExpress.Snap.v17.2.Extensions.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.snap.ja","DevExpress.Snap.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.schedulerreporting.ja","DevExpress.XtraScheduler.v17.2.Reporting.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.snap","DevExpress.Snap.v17.2.dll",".NETFramework,Version=v4.0"
"devexpress.win.snap","DevExpress.Snap.v17.2.Extensions.dll",".NETFramework,Version=v4.0"
"devexpress.win.spellchecker","DevExpress.XtraSpellChecker.v17.2.dll",".NETFramework,Version=v4.0"
"devexpress.win.snap.es","DevExpress.Snap.v17.2.Extensions.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.snap.es","DevExpress.Snap.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.snap.ru","DevExpress.Snap.v17.2.Extensions.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.snap.ru","DevExpress.Snap.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.spellchecker.ru","DevExpress.XtraSpellChecker.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.spellchecker.de","DevExpress.XtraSpellChecker.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.spreadsheet.de","DevExpress.XtraSpreadsheet.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.spellchecker.ja","DevExpress.XtraSpellChecker.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.spreadsheet.ja","DevExpress.XtraSpreadsheet.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.treemap","DevExpress.XtraTreeMap.v17.2.dll",".NETFramework,Version=v4.0"
"devexpress.win.spreadsheet","DevExpress.XtraSpreadsheet.v17.2.dll",".NETFramework,Version=v4.0"
"devexpress.win.spreadsheet.es","DevExpress.XtraSpreadsheet.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.spreadsheet.ru","DevExpress.XtraSpreadsheet.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.spellchecker.es","DevExpress.XtraSpellChecker.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.wpf.charts","DevExpress.Xpf.Charts.v17.2.dll",".NETFramework,Version=v4.0"
"devexpress.wpf.carousel","DevExpress.Xpf.Carousel.v17.2.dll",".NETFramework,Version=v4.0"
"devexpress.wpf.charts.designer","DevExpress.Charts.Designer.v17.2.dll",".NETFramework,Version=v4.0"
"devexpress.wpf.charts.designer.es","DevExpress.Charts.Designer.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.wpf.charts.de","DevExpress.Xpf.Charts.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.wpf.charts.designer.ru","DevExpress.Charts.Designer.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.wpf.charts.designer.de","DevExpress.Charts.Designer.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.wpf.charts.ja","DevExpress.Xpf.Charts.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.wpf.charts.designer.ja","DevExpress.Charts.Designer.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.wpf.charts.es","DevExpress.Xpf.Charts.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.wpf.charts.ru","DevExpress.Xpf.Charts.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.wpf.core.de","DevExpress.Xpf.Core.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.wpf.core.es","DevExpress.Xpf.Core.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.wpf.core.ja","DevExpress.Xpf.Core.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.wpf.core","DevExpress.Xpf.Core.v17.2.dll",".NETFramework,Version=v4.0"
"devexpress.wpf.core","DevExpress.Xpf.Core.v17.2.Extensions.dll",".NETFramework,Version=v4.0"
"devexpress.wpf.core.ru","DevExpress.Xpf.Core.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.wpf.diagram","DevExpress.Xpf.Diagram.v17.2.dll",".NETFramework,Version=v4.0"
"devexpress.wpf.expressioneditor","DevExpress.Xpf.ExpressionEditor.v17.2.dll",".NETFramework,Version=v4.0"
"devexpress.wpf.gauges","DevExpress.Xpf.Gauges.v17.2.dll",".NETFramework,Version=v4.0"
"devexpress.wpf.gauges.de","DevExpress.Xpf.Gauges.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.wpf.gauges.es","DevExpress.Xpf.Gauges.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.wpf.gauges.ja","DevExpress.Xpf.Gauges.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.wpf.gauges.ru","DevExpress.Xpf.Gauges.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.wpf.grid.de","DevExpress.Xpf.Grid.v17.2.Core.resources.dll",".NETFramework,Version=v4.0"
"devexpress.wpf.grid","DevExpress.Xpf.Grid.v17.2.Core.dll",".NETFramework,Version=v4.0"
"devexpress.wpf.grid","DevExpress.Xpf.Grid.v17.2.dll",".NETFramework,Version=v4.0"
"devexpress.wpf.grid","DevExpress.Xpf.Grid.v17.2.Extensions.dll",".NETFramework,Version=v4.0"
"devexpress.wpf.grid.es","DevExpress.Xpf.Grid.v17.2.Core.resources.dll",".NETFramework,Version=v4.0"
"devexpress.wpf.grid.ja","DevExpress.Xpf.Grid.v17.2.Core.resources.dll",".NETFramework,Version=v4.0"
"devexpress.wpf.grid.ru","DevExpress.Xpf.Grid.v17.2.Core.resources.dll",".NETFramework,Version=v4.0"
"devexpress.wpf.layout","DevExpress.Xpf.LayoutControl.v17.2.dll",".NETFramework,Version=v4.0"
"devexpress.wpf.layout.de","DevExpress.Xpf.LayoutControl.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.wpf.layout.es","DevExpress.Xpf.LayoutControl.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.wpf.layout.ja","DevExpress.Xpf.LayoutControl.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.wpf.layout.ru","DevExpress.Xpf.LayoutControl.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.wpf.map","DevExpress.Xpf.Map.v17.2.dll",".NETFramework,Version=v4.0"
"devexpress.wpf.navigation.de","DevExpress.Xpf.Controls.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.wpf.navigation.de","DevExpress.Xpf.Docking.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.wpf.navigation.de","DevExpress.Xpf.NavBar.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.wpf.navigation.de","DevExpress.Xpf.Ribbon.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.wpf.navigation.ja","DevExpress.Xpf.Controls.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.wpf.navigation.ja","DevExpress.Xpf.Docking.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.wpf.navigation.ja","DevExpress.Xpf.NavBar.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.wpf.navigation.ja","DevExpress.Xpf.Ribbon.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.wpf.navigation.es","DevExpress.Xpf.Controls.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.wpf.navigation.es","DevExpress.Xpf.Docking.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.wpf.navigation.es","DevExpress.Xpf.NavBar.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.wpf.navigation.es","DevExpress.Xpf.Ribbon.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.wpf.navigation","DevExpress.Xpf.Accordion.v17.2.dll",".NETFramework,Version=v4.0"
"devexpress.wpf.navigation","DevExpress.Xpf.Controls.v17.2.dll",".NETFramework,Version=v4.0"
"devexpress.wpf.navigation","DevExpress.Xpf.Docking.v17.2.dll",".NETFramework,Version=v4.0"
"devexpress.wpf.navigation","DevExpress.Xpf.Layout.v17.2.Core.dll",".NETFramework,Version=v4.0"
