"Package","Assembly","DotNetFramework"
"devexpress.aspnetcore.bootstrap","DevExpress.AspNetCore.Bootstrap.v17.2.dll",".NETStandard,Version=v2.0"
"devexpress.codeparser","DevExpress.CodeParser.v17.2.dll",".NETFramework,Version=v4.0"
"devexpress.document.processor","DevExpress.Docs.v17.2.dll",".NETFramework,Version=v4.0"
"devexpress.aspnetcore.resources","DevExpress.AspNetCore.Resources.v17.2.dll",".NETStandard,Version=v2.0"
"devexpress.mvvm","DevExpress.Mvvm.v17.2.dll",".NETFramework,Version=v4.0"
"devexpress.reporting.core","DevExpress.XtraReports.v17.2.dll",".NETFramework,Version=v4.0"
"devexpress.reporting.core.es","DevExpress.XtraReports.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.images","DevExpress.Images.v17.2.dll",".NETFramework,Version=v4.0"
"devexpress.reporting.core.ru","DevExpress.XtraReports.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.pdf.drawing","DevExpress.Pdf.v17.2.Drawing.dll",".NETFramework,Version=v4.0"
"devexpress.reporting.core.de","DevExpress.XtraReports.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.reporting.core.ja","DevExpress.XtraReports.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.richedit.export","DevExpress.RichEdit.v17.2.Export.dll",".NETFramework,Version=v4.0"
"devexpress.web.bootstrap","DevExpress.Web.Bootstrap.v17.2.dll",".NETFramework,Version=v4.0"
"devexpress.web.dashboard.de","DevExpress.Dashboard.v17.2.Web.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.dashboard","DevExpress.Dashboard.v17.2.Web.dll",".NETFramework,Version=v4.0"
"devexpress.web","DevExpress.Web.ASPxHtmlEditor.v17.2.dll",".NETFramework,Version=v4.0"
"devexpress.web","DevExpress.Web.ASPxPivotGrid.v17.2.dll",".NETFramework,Version=v4.0"
"devexpress.web","DevExpress.Web.ASPxSpellChecker.v17.2.dll",".NETFramework,Version=v4.0"
"devexpress.web","DevExpress.Web.ASPxTreeList.v17.2.dll",".NETFramework,Version=v4.0"
"devexpress.web","DevExpress.Web.Resources.v17.2.dll",".NETFramework,Version=v4.0"
"devexpress.web","DevExpress.Web.v17.2.dll",".NETFramework,Version=v4.0"
"devexpress.web.dashboard.ja","DevExpress.Dashboard.v17.2.Web.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.dashboard.es","DevExpress.Dashboard.v17.2.Web.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.dashboard.ru","DevExpress.Dashboard.v17.2.Web.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.de","DevExpress.Web.ASPxHtmlEditor.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.de","DevExpress.Web.ASPxSpellChecker.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.de","DevExpress.Web.ASPxTreeList.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.de","DevExpress.Web.Resources.v17.2.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.de","DevExpress.Web.v17.2.resources.dll",".NETFramework,Version=v4.0"
