#TYPE System.Management.Automation.PSCustomObject
"Package","Version","Assembly","DotNetFramework"
"devexpress.aspnetcore.bootstrap","18.2.5","DevExpress.AspNetCore.Bootstrap.v18.2",".NETStandard,Version=v2.0"
"devexpress.aspnetcore.dashboard","18.2.5","DevExpress.Dashboard.v18.2.AspNetCore",".NETStandard,Version=v2.0"
"devexpress.aspnetcore.reporting","18.2.5","DevExpress.AspNetCore.Reporting.v18.2",".NETStandard,Version=v2.0"
"devexpress.aspnetcore.scheduler.core","18.2.5","DevExpress.AspNetCore.Scheduler.Core.v18.2",".NETStandard,Version=v2.0"
"devexpress.aspnetcore.scheduler.core.es","18.2.5","DevExpress.AspNetCore.Scheduler.Core.v18.2.resources",".NETStandard,Version=v2.0"
"devexpress.aspnetcore.scheduler.core.ru","18.2.5","DevExpress.AspNetCore.Scheduler.Core.v18.2.resources",".NETStandard,Version=v2.0"
"devexpress.aspnetcore.scheduler.core.de","18.2.5","DevExpress.AspNetCore.Scheduler.Core.v18.2.resources",".NETStandard,Version=v2.0"
"devexpress.aspnetcore.resources","18.2.5","DevExpress.AspNetCore.Resources.v18.2",".NETStandard,Version=v2.0"
"devexpress.aspnetcore.scheduler.core.ja","18.2.5","DevExpress.AspNetCore.Scheduler.Core.v18.2.resources",".NETStandard,Version=v2.0"
"devexpress.document.processor","18.2.5","DevExpress.Docs.v18.2",".NETFramework,Version=v4.5.2"
"devexpress.codeparser","18.2.5","DevExpress.CodeParser.v18.2",".NETFramework,Version=v4.5.2"
"devexpress.codeparser","18.2.5","DevExpress.CodeParser.v18.2",".NETStandard,Version=v2.0"
"devexpress.expressapp.audittrail","18.2.5","DevExpress.ExpressApp.AuditTrail.v18.2",".NETFramework,Version=v4.5.2"
"devexpress.expressapp.audittrail.es","18.2.5","DevExpress.ExpressApp.AuditTrail.v18.2.resources",".NETFramework,Version=v4.5.2"
"devexpress.expressapp.audittrail.ru","18.2.5","DevExpress.ExpressApp.AuditTrail.v18.2.resources",".NETFramework,Version=v4.5.2"
"devexpress.expressapp","18.2.5","DevExpress.ExpressApp.v18.2",".NETFramework,Version=v4.5.2"
"devexpress.expressapp.chart.de","18.2.5","DevExpress.ExpressApp.Chart.v18.2.resources",".NETFramework,Version=v4.5.2"
"devexpress.expressapp.audittrail.de","18.2.5","DevExpress.ExpressApp.AuditTrail.v18.2.resources",".NETFramework,Version=v4.5.2"
"devexpress.expressapp.chart.ja","18.2.5","DevExpress.ExpressApp.Chart.v18.2.resources",".NETFramework,Version=v4.5.2"
"devexpress.expressapp.audittrail.ja","18.2.5","DevExpress.ExpressApp.AuditTrail.v18.2.resources",".NETFramework,Version=v4.5.2"
"devexpress.expressapp.chart.web","18.2.5","DevExpress.ExpressApp.Chart.Web.v18.2",".NETFramework,Version=v4.5.2"
"devexpress.expressapp.chart","18.2.5","DevExpress.ExpressApp.Chart.v18.2",".NETFramework,Version=v4.5.2"
"devexpress.expressapp.chart.ru","18.2.5","DevExpress.ExpressApp.Chart.v18.2.resources",".NETFramework,Version=v4.5.2"
"devexpress.expressapp.cloneobject","18.2.5","DevExpress.ExpressApp.CloneObject.v18.2",".NETFramework,Version=v4.5.2"
"devexpress.expressapp.chart.win","18.2.5","DevExpress.ExpressApp.Chart.Win.v18.2",".NETFramework,Version=v4.5.2"
"devexpress.expressapp.cloneobject.es","18.2.5","DevExpress.ExpressApp.CloneObject.v18.2.resources",".NETFramework,Version=v4.5.2"
"devexpress.expressapp.cloneobject.mobile","18.2.5","DevExpress.ExpressApp.CloneObject.Mobile.v18.2",".NETFramework,Version=v4.5.2"
"devexpress.expressapp.cloneobject.de","18.2.5","DevExpress.ExpressApp.CloneObject.v18.2.resources",".NETFramework,Version=v4.5.2"
"devexpress.expressapp.cloneobject.ja","18.2.5","DevExpress.ExpressApp.CloneObject.v18.2.resources",".NETFramework,Version=v4.5.2"
"devexpress.expressapp.conditionalappearance","18.2.5","DevExpress.ExpressApp.ConditionalAppearance.v18.2",".NETFramework,Version=v4.5.2"
"devexpress.expressapp.cloneobject.ru","18.2.5","DevExpress.ExpressApp.CloneObject.v18.2.resources",".NETFramework,Version=v4.5.2"
"devexpress.expressapp.conditionalappearance.mobile","18.2.5","DevExpress.ExpressApp.ConditionalAppearance.Mobile.v18.2",".NETFramework,Version=v4.5.2"
"devexpress.expressapp.dashboards.de","18.2.5","DevExpress.ExpressApp.Dashboards.v18.2.resources",".NETFramework,Version=v4.5.2"
