"Package","Version","Assembly","DotNetFramework"
"devexpress.mvvm","17.1.4","DevExpress.Mvvm.v17.1.dll","Any,Version=v0.0"
"devexpress.document.processor","17.1.4","DevExpress.Docs.v17.1.dll","Any,Version=v0.0"
"devexpress.document.processor","17.1.4","DevExpress.Pdf.v17.1.Drawing.dll","Any,Version=v0.0"
"devexpress.document.processor","17.1.4","DevExpress.Snap.v17.1.Core.dll","Any,Version=v0.0"
"devexpress.reporting.core","17.1.4","DevExpress.RichEdit.v17.1.Export.dll","Any,Version=v0.0"
"devexpress.reporting.core","17.1.4","DevExpress.XtraReports.v17.1.dll","Any,Version=v0.0"
"devexpress.web.bootstrap","17.1.4","DevExpress.Web.Bootstrap.v17.1.dll","Any,Version=v0.0"
"devexpress.web.mvc","17.1.4","DevExpress.Web.Mvc.v17.1.dll","Any,Version=v0.0"
"devexpress.web.mvc5.dashboard","17.1.4","DevExpress.Dashboard.v17.1.Web.Mvc5.dll","Any,Version=v0.0"
"devexpress.web.reporting","17.1.4","DevExpress.XtraReports.v17.1.Web.dll","Any,Version=v0.0"
"devexpress.web.dashboard","17.1.4","DevExpress.Dashboard.v17.1.Web.dll","Any,Version=v0.0"
"devexpress.web.mvc.dashboard","17.1.4","DevExpress.Dashboard.v17.1.Web.Mvc.dll","Any,Version=v0.0"
"devexpress.web","17.1.4","DevExpress.Web.ASPxHtmlEditor.v17.1.dll","Any,Version=v0.0"
"devexpress.web","17.1.4","DevExpress.Web.ASPxPivotGrid.v17.1.dll","Any,Version=v0.0"
"devexpress.web","17.1.4","DevExpress.Web.ASPxSpellChecker.v17.1.dll","Any,Version=v0.0"
"devexpress.web","17.1.4","DevExpress.Web.ASPxTreeList.v17.1.dll","Any,Version=v0.0"
"devexpress.web","17.1.4","DevExpress.Web.Resources.v17.1.dll","Any,Version=v0.0"
"devexpress.web","17.1.4","DevExpress.Web.v17.1.dll","Any,Version=v0.0"
"devexpress.web.mvc5","17.1.4","DevExpress.Web.Mvc5.v17.1.dll","Any,Version=v0.0"
"devexpress.web.scheduler","17.1.4","DevExpress.Web.ASPxScheduler.v17.1.dll","Any,Version=v0.0"
"devexpress.web.office","17.1.4","DevExpress.Web.ASPxRichEdit.v17.1.dll","Any,Version=v0.0"
"devexpress.web.office","17.1.4","DevExpress.Web.ASPxSpreadsheet.v17.1.dll","Any,Version=v0.0"
"devexpress.web.themes","17.1.4","DevExpress.Web.ASPxThemes.v17.1.dll","Any,Version=v0.0"
"devexpress.web.visualization","17.1.4","DevExpress.Web.ASPxGauges.v17.1.dll","Any,Version=v0.0"
"devexpress.web.visualization","17.1.4","DevExpress.XtraCharts.v17.1.Web.dll","Any,Version=v0.0"
"devexpress.win.dashboard","17.1.4","DevExpress.Dashboard.v17.1.Win.dll","Any,Version=v0.0"
"devexpress.win.map","17.1.4","DevExpress.Map.v17.1.Core.dll","Any,Version=v0.0"
"devexpress.win.map","17.1.4","DevExpress.XtraMap.v17.1.dll","Any,Version=v0.0"
"devexpress.win.diagram","17.1.4","DevExpress.Diagram.v17.1.Core.dll","Any,Version=v0.0"
"devexpress.win.diagram","17.1.4","DevExpress.XtraDiagram.v17.1.dll","Any,Version=v0.0"
"devexpress.win.richedit","17.1.4","DevExpress.XtraRichEdit.v17.1.dll","Any,Version=v0.0"
"devexpress.win.richedit","17.1.4","DevExpress.XtraRichEdit.v17.1.Extensions.dll","Any,Version=v0.0"
"devexpress.win","17.1.4","DevExpress.Images.v17.1.dll","Any,Version=v0.0"
"devexpress.win","17.1.4","DevExpress.XtraBars.v17.1.dll","Any,Version=v0.0"
"devexpress.win","17.1.4","DevExpress.XtraEditors.v17.1.dll","Any,Version=v0.0"
"devexpress.win","17.1.4","DevExpress.XtraGrid.v17.1.dll","Any,Version=v0.0"
"devexpress.win","17.1.4","DevExpress.XtraLayout.v17.1.dll","Any,Version=v0.0"
"devexpress.win","17.1.4","DevExpress.XtraNavBar.v17.1.dll","Any,Version=v0.0"
"devexpress.win","17.1.4","DevExpress.XtraPivotGrid.v17.1.dll","Any,Version=v0.0"
"devexpress.win","17.1.4","DevExpress.XtraPrinting.v17.1.dll","Any,Version=v0.0"
"devexpress.win","17.1.4","DevExpress.XtraTreeList.v17.1.dll","Any,Version=v0.0"
"devexpress.win","17.1.4","DevExpress.XtraVerticalGrid.v17.1.dll","Any,Version=v0.0"
"devexpress.win","17.1.4","DevExpress.XtraWizard.v17.1.dll","Any,Version=v0.0"
"devexpress.win.spellchecker","17.1.4","DevExpress.XtraSpellChecker.v17.1.dll","Any,Version=v0.0"
"devexpress.win.bonusskins","17.1.4","DevExpress.BonusSkins.v17.1.dll","Any,Version=v0.0"
"devexpress.win.reporting","17.1.4","DevExpress.XtraReports.v17.1.Extensions.dll","Any,Version=v0.0"
"devexpress.xpo","17.1.4","DevExpress.Xpo.v17.1.dll","Any,Version=v0.0"
"devexpress.win.scheduler","17.1.4","DevExpress.XtraScheduler.v17.1.dll","Any,Version=v0.0"
"devexpress.win.scheduler","17.1.4","DevExpress.XtraScheduler.v17.1.Extensions.dll","Any,Version=v0.0"
"devexpress.win.spreadsheet","17.1.4","DevExpress.XtraSpreadsheet.v17.1.dll","Any,Version=v0.0"
