#TYPE System.Management.Automation.PSCustomObject
"Package","Version","Assembly","DotNetFramework"
"devexpress.aspnetcore.bootstrap","17.2.9","DevExpress.AspNetCore.Bootstrap.v17.2",".NETStandard,Version=v2.0"
"devexpress.codeparser","17.2.9","DevExpress.CodeParser.v17.2",".NETFramework,Version=v4.0"
"devexpress.document.processor","17.2.9","DevExpress.Docs.v17.2",".NETFramework,Version=v4.0"
"devexpress.aspnetcore.resources","17.2.9","DevExpress.AspNetCore.Resources.v17.2",".NETStandard,Version=v2.0"
"devexpress.mvvm","17.2.9","DevExpress.Mvvm.v17.2",".NETFramework,Version=v4.0"
"devexpress.reporting.core","17.2.9","DevExpress.XtraReports.v17.2",".NETFramework,Version=v4.0"
"devexpress.reporting.core.es","17.2.9","DevExpress.XtraReports.v17.2.resources",".NETFramework,Version=v4.0"
"devexpress.reporting.core.ru","17.2.9","DevExpress.XtraReports.v17.2.resources",".NETFramework,Version=v4.0"
"devexpress.images","17.2.9","DevExpress.Images.v17.2",".NETFramework,Version=v4.0"
"devexpress.pdf.drawing","17.2.9","DevExpress.Pdf.v17.2.Drawing",".NETFramework,Version=v4.0"
"devexpress.reporting.core.de","17.2.9","DevExpress.XtraReports.v17.2.resources",".NETFramework,Version=v4.0"
"devexpress.reporting.core.ja","17.2.9","DevExpress.XtraReports.v17.2.resources",".NETFramework,Version=v4.0"
"devexpress.richedit.export","17.2.9","DevExpress.RichEdit.v17.2.Export",".NETFramework,Version=v4.0"
"devexpress.web.bootstrap","17.2.9","DevExpress.Web.Bootstrap.v17.2",".NETFramework,Version=v4.0"
"devexpress.web","17.2.9","DevExpress.Web.ASPxHtmlEditor.v17.2",".NETFramework,Version=v4.0"
"devexpress.web","17.2.9","DevExpress.Web.ASPxPivotGrid.v17.2",".NETFramework,Version=v4.0"
"devexpress.web","17.2.9","DevExpress.Web.ASPxSpellChecker.v17.2",".NETFramework,Version=v4.0"
"devexpress.web","17.2.9","DevExpress.Web.ASPxTreeList.v17.2",".NETFramework,Version=v4.0"
"devexpress.web","17.2.9","DevExpress.Web.Resources.v17.2",".NETFramework,Version=v4.0"
"devexpress.web","17.2.9","DevExpress.Web.v17.2",".NETFramework,Version=v4.0"
"devexpress.web.dashboard","17.2.9","DevExpress.Dashboard.v17.2.Web",".NETFramework,Version=v4.0"
"devexpress.web.dashboard.es","17.2.9","DevExpress.Dashboard.v17.2.Web.resources",".NETFramework,Version=v4.0"
"devexpress.web.dashboard.ru","17.2.9","DevExpress.Dashboard.v17.2.Web.resources",".NETFramework,Version=v4.0"
"devexpress.web.dashboard.de","17.2.9","DevExpress.Dashboard.v17.2.Web.resources",".NETFramework,Version=v4.0"
"devexpress.web.es","17.2.9","DevExpress.Web.ASPxHtmlEditor.v17.2.resources",".NETFramework,Version=v4.0"
"devexpress.web.es","17.2.9","DevExpress.Web.ASPxSpellChecker.v17.2.resources",".NETFramework,Version=v4.0"
"devexpress.web.es","17.2.9","DevExpress.Web.ASPxTreeList.v17.2.resources",".NETFramework,Version=v4.0"
"devexpress.web.es","17.2.9","DevExpress.Web.Resources.v17.2.resources",".NETFramework,Version=v4.0"
"devexpress.web.es","17.2.9","DevExpress.Web.v17.2.resources",".NETFramework,Version=v4.0"
"devexpress.web.dashboard.ja","17.2.9","DevExpress.Dashboard.v17.2.Web.resources",".NETFramework,Version=v4.0"
"devexpress.web.de","17.2.9","DevExpress.Web.ASPxHtmlEditor.v17.2.resources",".NETFramework,Version=v4.0"
"devexpress.web.de","17.2.9","DevExpress.Web.ASPxSpellChecker.v17.2.resources",".NETFramework,Version=v4.0"
"devexpress.web.de","17.2.9","DevExpress.Web.ASPxTreeList.v17.2.resources",".NETFramework,Version=v4.0"
"devexpress.web.de","17.2.9","DevExpress.Web.Resources.v17.2.resources",".NETFramework,Version=v4.0"
"devexpress.web.de","17.2.9","DevExpress.Web.v17.2.resources",".NETFramework,Version=v4.0"
"devexpress.web.mvc","17.2.9","DevExpress.Web.Mvc.v17.2",".NETFramework,Version=v4.0"
"devexpress.web.ja","17.2.9","DevExpress.Web.ASPxHtmlEditor.v17.2.resources",".NETFramework,Version=v4.0"
"devexpress.web.ja","17.2.9","DevExpress.Web.ASPxSpellChecker.v17.2.resources",".NETFramework,Version=v4.0"
"devexpress.web.ja","17.2.9","DevExpress.Web.ASPxTreeList.v17.2.resources",".NETFramework,Version=v4.0"
"devexpress.web.ja","17.2.9","DevExpress.Web.Resources.v17.2.resources",".NETFramework,Version=v4.0"
"devexpress.web.ja","17.2.9","DevExpress.Web.v17.2.resources",".NETFramework,Version=v4.0"
"devexpress.web.mvc.dashboard","17.2.9","DevExpress.Dashboard.v17.2.Web.Mvc",".NETFramework,Version=v4.0"
"devexpress.web.mvc5","17.2.9","DevExpress.Web.Mvc5.v17.2",".NETFramework,Version=v4.0"
"devexpress.web.mvc5.dashboard","17.2.9","DevExpress.Dashboard.v17.2.Web.Mvc5",".NETFramework,Version=v4.0"
"devexpress.web.office.de","17.2.9","DevExpress.Web.ASPxRichEdit.v17.2.resources",".NETFramework,Version=v4.0"
"devexpress.web.office.de","17.2.9","DevExpress.Web.ASPxSpreadsheet.v17.2.resources",".NETFramework,Version=v4.0"
"devexpress.web.office.ja","17.2.9","DevExpress.Web.ASPxRichEdit.v17.2.resources",".NETFramework,Version=v4.0"
"devexpress.web.office.ja","17.2.9","DevExpress.Web.ASPxSpreadsheet.v17.2.resources",".NETFramework,Version=v4.0"
"devexpress.web.office.es","17.2.9","DevExpress.Web.ASPxRichEdit.v17.2.resources",".NETFramework,Version=v4.0"
"devexpress.web.office.es","17.2.9","DevExpress.Web.ASPxSpreadsheet.v17.2.resources",".NETFramework,Version=v4.0"
"devexpress.web.office","17.2.9","DevExpress.Web.ASPxRichEdit.v17.2",".NETFramework,Version=v4.0"
"devexpress.web.office","17.2.9","DevExpress.Web.ASPxSpreadsheet.v17.2",".NETFramework,Version=v4.0"
"devexpress.web.office.ru","17.2.9","DevExpress.Web.ASPxRichEdit.v17.2.resources",".NETFramework,Version=v4.0"
"devexpress.web.office.ru","17.2.9","DevExpress.Web.ASPxSpreadsheet.v17.2.resources",".NETFramework,Version=v4.0"
"devexpress.web.reporting.de","17.2.9","DevExpress.XtraReports.v17.2.Web.resources",".NETFramework,Version=v4.0"
"devexpress.web.reporting.ja","17.2.9","DevExpress.XtraReports.v17.2.Web.resources",".NETFramework,Version=v4.0"
"devexpress.web.reporting.es","17.2.9","DevExpress.XtraReports.v17.2.Web.resources",".NETFramework,Version=v4.0"
