#TYPE System.Management.Automation.PSCustomObject
"Package","Version","Assembly"
"DevExpress.Diagram.Core.es","18.2.4","DevExpress.Diagram.v18.2.Core.resources"
"DevExpress.Diagram.Core.ja","18.2.4","DevExpress.Diagram.v18.2.Core.resources"
"DevExpress.Diagram.Core.ru","18.2.4","DevExpress.Diagram.v18.2.Core.resources"
"DevExpress.Document.Processor","18.2.4","DevExpress.Docs.v18.2"
"DevExpress.ExpressApp","18.2.4","DevExpress.ExpressApp.v18.2"
"DevExpress.ExpressApp.AuditTrail","18.2.4","DevExpress.ExpressApp.AuditTrail.v18.2"
"DevExpress.ExpressApp.AuditTrail.de","18.2.4","DevExpress.ExpressApp.AuditTrail.v18.2.resources"
"DevExpress.ExpressApp.AuditTrail.es","18.2.4","DevExpress.ExpressApp.AuditTrail.v18.2.resources"
"DevExpress.ExpressApp.AuditTrail.ja","18.2.4","DevExpress.ExpressApp.AuditTrail.v18.2.resources"
"DevExpress.ExpressApp.AuditTrail.ru","18.2.4","DevExpress.ExpressApp.AuditTrail.v18.2.resources"
"DevExpress.ExpressApp.Chart","18.2.4","DevExpress.ExpressApp.Chart.v18.2"
"DevExpress.ExpressApp.Chart.de","18.2.4","DevExpress.ExpressApp.Chart.v18.2.resources"
"DevExpress.ExpressApp.Chart.ja","18.2.4","DevExpress.ExpressApp.Chart.v18.2.resources"
"DevExpress.ExpressApp.Chart.ru","18.2.4","DevExpress.ExpressApp.Chart.v18.2.resources"
"DevExpress.ExpressApp.Chart.Web","18.2.4","DevExpress.ExpressApp.Chart.Web.v18.2"
"DevExpress.ExpressApp.Chart.Win","18.2.4","DevExpress.ExpressApp.Chart.Win.v18.2"
"DevExpress.ExpressApp.CloneObject","18.2.4","DevExpress.ExpressApp.CloneObject.v18.2"
"DevExpress.ExpressApp.CloneObject.de","18.2.4","DevExpress.ExpressApp.CloneObject.v18.2.resources"
"DevExpress.ExpressApp.CloneObject.es","18.2.4","DevExpress.ExpressApp.CloneObject.v18.2.resources"
"DevExpress.ExpressApp.CloneObject.ja","18.2.4","DevExpress.ExpressApp.CloneObject.v18.2.resources"
"DevExpress.ExpressApp.CloneObject.Mobile","18.2.4","DevExpress.ExpressApp.CloneObject.Mobile.v18.2"
"DevExpress.ExpressApp.CloneObject.ru","18.2.4","DevExpress.ExpressApp.CloneObject.v18.2.resources"
"DevExpress.ExpressApp.ConditionalAppearance","18.2.4","DevExpress.ExpressApp.ConditionalAppearance.v18.2"
"DevExpress.ExpressApp.ConditionalAppearance.Mobile","18.2.4","DevExpress.ExpressApp.ConditionalAppearance.Mobile.v18.2"
