"Package","Version","Assembly","DotNetFramework"
"DevExpress.AspNetCore.RichEdit","20.1.6.0","DevExpress.AspNetCore.RichEdit.v20.1.dll",".NETStandard,Version=v2.0"
"DevExpress.ExpressApp.Maps.Web.ja","20.1.6.0","DevExpress.ExpressApp.Maps.Web.v20.1.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.Maps.Web.ru","20.1.6.0","DevExpress.ExpressApp.Maps.Web.v20.1.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.FileAttachment.Web.ja","20.1.6.0","DevExpress.ExpressApp.FileAttachment.Web.v20.1.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.Dashboards.Web.de","20.1.6.0","DevExpress.ExpressApp.Dashboards.Web.v20.1.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.AuditTrail.es","20.1.6.0","DevExpress.ExpressApp.AuditTrail.v20.1.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.AuditTrail.es","20.1.6.0","DevExpress.ExpressApp.AuditTrail.v20.1.resources.dll",".NETStandard,Version=v2.0"
"DevExpress.ExpressApp.Chart.de","20.1.6.0","DevExpress.ExpressApp.Chart.v20.1.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.Chart.de","20.1.6.0","DevExpress.ExpressApp.Chart.v20.1.resources.dll",".NETStandard,Version=v2.0"
"DevExpress.ExpressApp.CloneObject.ru","20.1.6.0","DevExpress.ExpressApp.CloneObject.v20.1.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.CloneObject.ru","20.1.6.0","DevExpress.ExpressApp.CloneObject.v20.1.resources.dll",".NETStandard,Version=v2.0"
"DevExpress.ExpressApp.Kpi","20.1.6.0","DevExpress.ExpressApp.Kpi.v20.1.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.Kpi","20.1.6.0","DevExpress.ExpressApp.Kpi.v20.1.dll",".NETStandard,Version=v2.0"
"DevExpress.ExpressApp.Dashboards.Web.ru","20.1.6.0","DevExpress.ExpressApp.Dashboards.Web.v20.1.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.AspNetCore.Reporting.Azure","20.1.6.0","DevExpress.AspNetCore.Reporting.v20.1.Azure.dll",".NETStandard,Version=v2.0"
"DevExpress.ExpressApp.Blazor","20.1.6.0","DevExpress.ExpressApp.Blazor.v20.1.dll",".NETStandard,Version=v2.1"
"DevExpress.ExpressApp.Notifications.Web.es","20.1.6.0","DevExpress.ExpressApp.Notifications.Web.v20.1.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.Maps.Mobile.de","20.1.6.0","DevExpress.ExpressApp.Maps.Mobile.v20.1.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.Dashboards.Web.ja","20.1.6.0","DevExpress.ExpressApp.Dashboards.Web.v20.1.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.ScriptRecorder.Win.de","20.1.6.0","DevExpress.ExpressApp.ScriptRecorder.Win.v20.1.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.Dashboards.Win.ru","20.1.6.0","DevExpress.ExpressApp.Dashboards.Win.v20.1.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.FileAttachment.Win.ru","20.1.6.0","DevExpress.ExpressApp.FileAttachment.Win.v20.1.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.Notifications.Win","20.1.6.0","DevExpress.ExpressApp.Notifications.Win.v20.1.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.Dashboards.ru","20.1.6.0","DevExpress.ExpressApp.Dashboards.v20.1.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.Dashboards.ru","20.1.6.0","DevExpress.ExpressApp.Dashboards.v20.1.resources.dll",".NETStandard,Version=v2.0"
"DevExpress.ExpressApp.StateMachine.ru","20.1.6.0","DevExpress.ExpressApp.StateMachine.v20.1.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.StateMachine.ru","20.1.6.0","DevExpress.ExpressApp.StateMachine.v20.1.resources.dll",".NETStandard,Version=v2.0"
