"Package","Version","Assembly","DotNetFramework"
"devexpress.mvvm","17.1.8","DevExpress.Mvvm.v17.1.dll","Any,Version=v0.0"
"devexpress.document.processor","17.1.8","DevExpress.Docs.v17.1.dll","Any,Version=v0.0"
"devexpress.document.processor","17.1.8","DevExpress.Snap.v17.1.Core.dll","Any,Version=v0.0"
"devexpress.pdf.drawing","17.1.8","DevExpress.Pdf.v17.1.Drawing.dll","Any,Version=v0.0"
"devexpress.reporting.core","17.1.8","DevExpress.RichEdit.v17.1.Export.dll","Any,Version=v0.0"
"devexpress.reporting.core","17.1.8","DevExpress.XtraReports.v17.1.dll","Any,Version=v0.0"
"devexpress.web.bootstrap","17.1.8","DevExpress.Web.Bootstrap.v17.1.dll","Any,Version=v0.0"
"devexpress.web.mvc","17.1.8","DevExpress.Web.Mvc.v17.1.dll","Any,Version=v0.0"
"devexpress.web.mvc5","17.1.8","DevExpress.Web.Mvc5.v17.1.dll","Any,Version=v0.0"
"devexpress.images","17.1.8","DevExpress.Images.v17.1.dll","Any,Version=v0.0"
"devexpress.web.office","17.1.8","DevExpress.Web.ASPxRichEdit.v17.1.dll","Any,Version=v0.0"
"devexpress.web.office","17.1.8","DevExpress.Web.ASPxSpreadsheet.v17.1.dll","Any,Version=v0.0"
"devexpress.web.scheduler","17.1.8","DevExpress.Web.ASPxScheduler.v17.1.dll","Any,Version=v0.0"
"devexpress.web.visualization","17.1.8","DevExpress.Web.ASPxGauges.v17.1.dll","Any,Version=v0.0"
"devexpress.web.visualization","17.1.8","DevExpress.XtraCharts.v17.1.Web.dll","Any,Version=v0.0"
"devexpress.web.dashboard","17.1.8","DevExpress.Dashboard.v17.1.Web.dll","Any,Version=v0.0"
"devexpress.web.mvc.dashboard","17.1.8","DevExpress.Dashboard.v17.1.Web.Mvc.dll","Any,Version=v0.0"
"devexpress.web.mvc5.dashboard","17.1.8","DevExpress.Dashboard.v17.1.Web.Mvc5.dll","Any,Version=v0.0"
