"Package","Version","Assembly","DotNetFramework"
"devexpress.pdf.drawing","16.2.9","DevExpress.Pdf.v16.2.Drawing.dll","Any,Version=v0.0"
"devexpress.document.processor","16.2.9","DevExpress.Docs.v16.2.dll","Any,Version=v0.0"
"devexpress.document.processor","16.2.9","DevExpress.Snap.v16.2.Core.dll","Any,Version=v0.0"
"devexpress.mvvm","16.2.9","DevExpress.Mvvm.v16.2.dll","Any,Version=v0.0"
"devexpress.images","16.2.9","DevExpress.Images.v16.2.dll","Any,Version=v0.0"
"devexpress.reporting.core","16.2.9","DevExpress.XtraReports.v16.2.dll","Any,Version=v0.0"
"devexpress.web.bootstrap","16.2.9","DevExpress.Web.Bootstrap.v16.2.dll","Any,Version=v0.0"
"devexpress.web.mvc.dashboard","16.2.9","DevExpress.Dashboard.v16.2.Web.Mvc.dll","Any,Version=v0.0"
"devexpress.web.mvc5.dashboard","16.2.9","DevExpress.Dashboard.v16.2.Web.Mvc5.dll","Any,Version=v0.0"
"devexpress.web.dashboard","16.2.9","DevExpress.Dashboard.v16.2.Web.dll","Any,Version=v0.0"
"devexpress.web.mvc","16.2.9","DevExpress.Web.Mvc.v16.2.dll","Any,Version=v0.0"
"devexpress.web.mvc5","16.2.9","DevExpress.Web.Mvc5.v16.2.dll","Any,Version=v0.0"
"devexpress.web","16.2.9","DevExpress.Web.ASPxHtmlEditor.v16.2.dll","Any,Version=v0.0"
"devexpress.web","16.2.9","DevExpress.Web.ASPxPivotGrid.v16.2.dll","Any,Version=v0.0"
"devexpress.web","16.2.9","DevExpress.Web.ASPxSpellChecker.v16.2.dll","Any,Version=v0.0"
"devexpress.web","16.2.9","DevExpress.Web.ASPxTreeList.v16.2.dll","Any,Version=v0.0"
"devexpress.web","16.2.9","DevExpress.Web.Resources.v16.2.dll","Any,Version=v0.0"
"devexpress.web","16.2.9","DevExpress.Web.v16.2.dll","Any,Version=v0.0"
"devexpress.web.reporting","16.2.9","DevExpress.XtraReports.v16.2.Web.dll","Any,Version=v0.0"
"devexpress.web.scheduler","16.2.9","DevExpress.Web.ASPxScheduler.v16.2.dll","Any,Version=v0.0"
"devexpress.web.office","16.2.9","DevExpress.Web.ASPxRichEdit.v16.2.dll","Any,Version=v0.0"
"devexpress.web.office","16.2.9","DevExpress.Web.ASPxSpreadsheet.v16.2.dll","Any,Version=v0.0"
"devexpress.web.visualization","16.2.9","DevExpress.Web.ASPxGauges.v16.2.dll","Any,Version=v0.0"
"devexpress.web.visualization","16.2.9","DevExpress.XtraCharts.v16.2.Web.dll","Any,Version=v0.0"
"devexpress.web.themes","16.2.9","DevExpress.Web.ASPxThemes.v16.2.dll","Any,Version=v0.0"
"devexpress.win.charts","16.2.9","DevExpress.XtraCharts.v16.2.Extensions.dll","Any,Version=v0.0"
"devexpress.win.charts","16.2.9","DevExpress.XtraCharts.v16.2.UI.dll","Any,Version=v0.0"
"devexpress.win.charts","16.2.9","DevExpress.XtraCharts.v16.2.Wizard.dll","Any,Version=v0.0"
"devexpress.win.diagram","16.2.9","DevExpress.XtraDiagram.v16.2.dll","Any,Version=v0.0"
"devexpress.win.map","16.2.9","DevExpress.XtraMap.v16.2.dll","Any,Version=v0.0"
"devexpress.win","16.2.9","DevExpress.XtraBars.v16.2.dll","Any,Version=v0.0"
"devexpress.win","16.2.9","DevExpress.XtraEditors.v16.2.dll","Any,Version=v0.0"
"devexpress.win","16.2.9","DevExpress.XtraGrid.v16.2.dll","Any,Version=v0.0"
"devexpress.win","16.2.9","DevExpress.XtraLayout.v16.2.dll","Any,Version=v0.0"
"devexpress.win","16.2.9","DevExpress.XtraNavBar.v16.2.dll","Any,Version=v0.0"
