"Package","Assembly","DotNetFramework"
"devexpress.web","DevExpress.Web.ASPxTreeList.v18.1.dll",".NETFramework,Version=v4.0"
"devexpress.web","DevExpress.Web.Resources.v18.1.dll",".NETFramework,Version=v4.0"
"devexpress.web","DevExpress.Web.v18.1.dll",".NETFramework,Version=v4.0"
"devexpress.web.mvc","DevExpress.Web.Mvc.v18.1.dll",".NETFramework,Version=v4.0"
"devexpress.web.de","DevExpress.Web.ASPxHtmlEditor.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.de","DevExpress.Web.ASPxSpellChecker.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.de","DevExpress.Web.ASPxTreeList.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.de","DevExpress.Web.Resources.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.de","DevExpress.Web.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.mvc.dashboard","DevExpress.Dashboard.v18.1.Web.Mvc.dll",".NETFramework,Version=v4.0"
"devexpress.web.ja","DevExpress.Web.ASPxHtmlEditor.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.ja","DevExpress.Web.ASPxSpellChecker.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.ja","DevExpress.Web.ASPxTreeList.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.ja","DevExpress.Web.Resources.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.ja","DevExpress.Web.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.mvc5","DevExpress.Web.Mvc5.v18.1.dll",".NETFramework,Version=v4.0"
"devexpress.web.mvc5.dashboard","DevExpress.Dashboard.v18.1.Web.Mvc5.dll",".NETFramework,Version=v4.0"
"devexpress.web.office.de","DevExpress.Web.ASPxRichEdit.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.office.de","DevExpress.Web.ASPxSpreadsheet.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.office.es","DevExpress.Web.ASPxRichEdit.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.office.es","DevExpress.Web.ASPxSpreadsheet.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.office.ja","DevExpress.Web.ASPxRichEdit.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.office.ja","DevExpress.Web.ASPxSpreadsheet.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.office.ru","DevExpress.Web.ASPxRichEdit.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.office.ru","DevExpress.Web.ASPxSpreadsheet.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.reporting.azure","DevExpress.XtraReports.v18.1.Web.Azure.dll",".NETFramework,Version=v4.0"
"devexpress.web.reporting.common.de","DevExpress.XtraReports.v18.1.Web.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.reporting.common.de","DevExpress.XtraReports.v18.1.Web.resources.dll",".NETStandard,Version=v2.0"
"devexpress.web.reporting.common.ja","DevExpress.XtraReports.v18.1.Web.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.reporting.common.ja","DevExpress.XtraReports.v18.1.Web.resources.dll",".NETStandard,Version=v2.0"
"devexpress.web.ru","DevExpress.Web.ASPxHtmlEditor.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.ru","DevExpress.Web.ASPxSpellChecker.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.ru","DevExpress.Web.ASPxTreeList.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.ru","DevExpress.Web.Resources.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.ru","DevExpress.Web.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.scheduler.de","DevExpress.Web.ASPxScheduler.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.office","DevExpress.Web.ASPxRichEdit.v18.1.dll",".NETFramework,Version=v4.0"
"devexpress.web.office","DevExpress.Web.ASPxSpreadsheet.v18.1.dll",".NETFramework,Version=v4.0"
"devexpress.web.reporting","DevExpress.XtraReports.v18.1.Web.WebForms.dll",".NETFramework,Version=v4.0"
"devexpress.web.reporting.common","DevExpress.XtraReports.v18.1.Web.dll",".NETFramework,Version=v4.0"
"devexpress.web.reporting.common","DevExpress.XtraReports.v18.1.Web.dll",".NETStandard,Version=v2.0"
"devexpress.web.reporting.common.es","DevExpress.XtraReports.v18.1.Web.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.reporting.common.es","DevExpress.XtraReports.v18.1.Web.resources.dll",".NETStandard,Version=v2.0"
"devexpress.web.scheduler.ja","DevExpress.Web.ASPxScheduler.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.reporting.common.ru","DevExpress.XtraReports.v18.1.Web.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.reporting.common.ru","DevExpress.XtraReports.v18.1.Web.resources.dll",".NETStandard,Version=v2.0"
"devexpress.web.scheduler.es","DevExpress.Web.ASPxScheduler.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.scheduler.ru","DevExpress.Web.ASPxScheduler.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.web.scheduler","DevExpress.Web.ASPxScheduler.v18.1.dll",".NETFramework,Version=v4.0"
"devexpress.web.visualization","DevExpress.Web.ASPxGauges.v18.1.dll",".NETFramework,Version=v4.0"
"devexpress.web.visualization","DevExpress.XtraCharts.v18.1.Web.dll",".NETFramework,Version=v4.0"
"devexpress.web.themes","DevExpress.Web.ASPxThemes.v18.1.dll",".NETFramework,Version=v4.0"
"devexpress.win","DevExpress.XtraBars.v18.1.dll",".NETFramework,Version=v4.0"
"devexpress.win","DevExpress.XtraEditors.v18.1.dll",".NETFramework,Version=v4.0"
"devexpress.win","DevExpress.XtraGrid.v18.1.dll",".NETFramework,Version=v4.0"
"devexpress.win","DevExpress.XtraLayout.v18.1.dll",".NETFramework,Version=v4.0"
"devexpress.win","DevExpress.XtraNavBar.v18.1.dll",".NETFramework,Version=v4.0"
"devexpress.win","DevExpress.XtraPivotGrid.v18.1.dll",".NETFramework,Version=v4.0"
"devexpress.win","DevExpress.XtraPrinting.v18.1.dll",".NETFramework,Version=v4.0"
"devexpress.win","DevExpress.XtraTreeList.v18.1.dll",".NETFramework,Version=v4.0"
"devexpress.win","DevExpress.XtraVerticalGrid.v18.1.dll",".NETFramework,Version=v4.0"
"devexpress.win","DevExpress.XtraWizard.v18.1.dll",".NETFramework,Version=v4.0"
"devexpress.win.charts.es","DevExpress.XtraCharts.v18.1.Wizard.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.charts","DevExpress.XtraCharts.v18.1.Extensions.dll",".NETFramework,Version=v4.0"
"devexpress.win.charts","DevExpress.XtraCharts.v18.1.UI.dll",".NETFramework,Version=v4.0"
"devexpress.win.charts","DevExpress.XtraCharts.v18.1.Wizard.dll",".NETFramework,Version=v4.0"
"devexpress.win.charts.ru","DevExpress.XtraCharts.v18.1.Wizard.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.charts.de","DevExpress.XtraCharts.v18.1.Wizard.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.dashboard.de","DevExpress.Dashboard.v18.1.Win.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.charts.ja","DevExpress.XtraCharts.v18.1.Wizard.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.dashboard.ja","DevExpress.Dashboard.v18.1.Win.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.bonusskins","DevExpress.BonusSkins.v18.1.dll",".NETFramework,Version=v4.0"
"devexpress.win.dashboard.es","DevExpress.Dashboard.v18.1.Win.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.dashboard.ru","DevExpress.Dashboard.v18.1.Win.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.de","DevExpress.XtraBars.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.de","DevExpress.XtraEditors.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.de","DevExpress.XtraGrid.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.de","DevExpress.XtraLayout.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.de","DevExpress.XtraNavBar.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.de","DevExpress.XtraPivotGrid.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.de","DevExpress.XtraPrinting.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.de","DevExpress.XtraTreeList.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.de","DevExpress.XtraVerticalGrid.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.de","DevExpress.XtraWizard.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.dialogs","DevExpress.XtraDialogs.v18.1.dll",".NETFramework,Version=v4.0"
"devexpress.win.dashboard","DevExpress.Dashboard.v18.1.Win.dll",".NETFramework,Version=v4.0"
"devexpress.win.diagram","DevExpress.XtraDiagram.v18.1.dll",".NETFramework,Version=v4.0"
"devexpress.win.dialogs.core.de","DevExpress.Dialogs.v18.1.Core.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.dialogs.core.ja","DevExpress.Dialogs.v18.1.Core.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.dialogs.core","DevExpress.Dialogs.v18.1.Core.dll",".NETFramework,Version=v4.0"
"devexpress.win.dialogs.core.es","DevExpress.Dialogs.v18.1.Core.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.es","DevExpress.XtraBars.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.es","DevExpress.XtraEditors.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.es","DevExpress.XtraGrid.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.es","DevExpress.XtraLayout.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.es","DevExpress.XtraNavBar.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.es","DevExpress.XtraPivotGrid.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.es","DevExpress.XtraPrinting.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.es","DevExpress.XtraTreeList.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.es","DevExpress.XtraVerticalGrid.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.es","DevExpress.XtraWizard.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.dialogs.core.ru","DevExpress.Dialogs.v18.1.Core.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.gauges.de","DevExpress.XtraGauges.v18.1.Presets.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.gauges.ja","DevExpress.XtraGauges.v18.1.Presets.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.gauges.es","DevExpress.XtraGauges.v18.1.Presets.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.ja","DevExpress.XtraBars.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.ja","DevExpress.XtraEditors.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.ja","DevExpress.XtraGrid.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.ja","DevExpress.XtraLayout.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.ja","DevExpress.XtraNavBar.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.ja","DevExpress.XtraPivotGrid.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.ja","DevExpress.XtraPrinting.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.ja","DevExpress.XtraTreeList.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.ja","DevExpress.XtraVerticalGrid.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.ja","DevExpress.XtraWizard.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.gauges","DevExpress.XtraGauges.v18.1.Presets.dll",".NETFramework,Version=v4.0"
"devexpress.win.gauges","DevExpress.XtraGauges.v18.1.Win.dll",".NETFramework,Version=v4.0"
"devexpress.win.gauges.ru","DevExpress.XtraGauges.v18.1.Presets.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.map","DevExpress.XtraMap.v18.1.dll",".NETFramework,Version=v4.0"
"devexpress.win.pdfviewer.de","DevExpress.XtraPdfViewer.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.pdfviewer.ru","DevExpress.XtraPdfViewer.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.pdfviewer","DevExpress.XtraPdfViewer.v18.1.dll",".NETFramework,Version=v4.0"
"devexpress.win.pdfviewer.es","DevExpress.XtraPdfViewer.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.reporting.de","DevExpress.XtraReports.v18.1.Extensions.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.pdfviewer.ja","DevExpress.XtraPdfViewer.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.reporting.ja","DevExpress.XtraReports.v18.1.Extensions.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.reporting.ru","DevExpress.XtraReports.v18.1.Extensions.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.reporting.es","DevExpress.XtraReports.v18.1.Extensions.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.richedit.ja","DevExpress.XtraRichEdit.v18.1.Extensions.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.richedit.ja","DevExpress.XtraRichEdit.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.richedit.es","DevExpress.XtraRichEdit.v18.1.Extensions.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.richedit.es","DevExpress.XtraRichEdit.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.richedit.de","DevExpress.XtraRichEdit.v18.1.Extensions.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.richedit.de","DevExpress.XtraRichEdit.v18.1.resources.dll",".NETFramework,Version=v4.0"
"devexpress.win.richedit","DevExpress.XtraRichEdit.v18.1.dll",".NETFramework,Version=v4.0"
"devexpress.win.richedit","DevExpress.XtraRichEdit.v18.1.Extensions.dll",".NETFramework,Version=v4.0"
