"Package","Version","Assembly","DotNetFramework"
"DevExpress.ExpressApp.Scheduler.Web.ja","19.2.5.0","DevExpress.ExpressApp.Scheduler.Web.v19.2.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.AspNetCore.Resources.ru","19.2.5.0","DevExpress.AspNetCore.Resources.v19.2.resources.dll",".NETStandard,Version=v2.0"
"DevExpress.EasyTest","19.2.5.0","DevExpress.EasyTest.v19.2.dll",".NETFramework,Version=v4.5.2"
"DevExpress.EasyTest","19.2.5.0","DevExpress.EasyTest.v19.2.dll",".NETStandard,Version=v2.0"
"DevExpress.AspNetCore.Resources.ja","19.2.5.0","DevExpress.AspNetCore.Resources.v19.2.resources.dll",".NETStandard,Version=v2.0"
"DevExpress.AspNetCore.Reporting","19.2.5.0","DevExpress.AspNetCore.Reporting.v19.2.dll",".NETStandard,Version=v2.0"
"DevExpress.ExpressApp.AuditTrail","19.2.5.0","DevExpress.ExpressApp.AuditTrail.v19.2.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.AuditTrail","19.2.5.0","DevExpress.ExpressApp.AuditTrail.v19.2.dll",".NETStandard,Version=v2.0"
"DevExpress.ExpressApp.FileAttachment.Win.es","19.2.5.0","DevExpress.ExpressApp.FileAttachment.Win.v19.2.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.FileAttachment.Web.es","19.2.5.0","DevExpress.ExpressApp.FileAttachment.Web.v19.2.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.FileAttachment.Web.ja","19.2.5.0","DevExpress.ExpressApp.FileAttachment.Web.v19.2.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.HtmlPropertyEditor.Win.ja","19.2.5.0","DevExpress.ExpressApp.HtmlPropertyEditor.Win.v19.2.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.PivotGrid","19.2.5.0","DevExpress.ExpressApp.PivotGrid.v19.2.dll",".NETFramework,Version=v4.5.2"
"DevExpress.AspNetCore.RichEdit","19.2.5.0","DevExpress.AspNetCore.RichEdit.v19.2.dll",".NETStandard,Version=v2.0"
"DevExpress.ExpressApp.PivotGrid.ru","19.2.5.0","DevExpress.ExpressApp.PivotGrid.v19.2.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.FileAttachment.Web.ru","19.2.5.0","DevExpress.ExpressApp.FileAttachment.Web.v19.2.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.HtmlPropertyEditor.Win.es","19.2.5.0","DevExpress.ExpressApp.HtmlPropertyEditor.Win.v19.2.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.PivotChart","19.2.5.0","DevExpress.ExpressApp.PivotChart.v19.2.dll",".NETFramework,Version=v4.5.2"
"DevExpress.WindowsDesktop.Printing.Core.es","19.2.5.0","DevExpress.Printing.v19.2.Core.resources.dll",".NETCoreApp,Version=v3.0"
"DevExpress.ExpressApp.HtmlPropertyEditor.Web","19.2.5.0","DevExpress.ExpressApp.HtmlPropertyEditor.Web.v19.2.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.Notifications.Web","19.2.5.0","DevExpress.ExpressApp.Notifications.Web.v19.2.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.Dashboards.Web.ru","19.2.5.0","DevExpress.ExpressApp.Dashboards.Web.v19.2.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.ScriptRecorder.Win.es","19.2.5.0","DevExpress.ExpressApp.ScriptRecorder.Win.v19.2.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.Workflow.Win.de","19.2.5.0","DevExpress.ExpressApp.Workflow.Win.v19.2.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.PivotGrid.ja","19.2.5.0","DevExpress.ExpressApp.PivotGrid.v19.2.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.ReportsV2.Web.ru","19.2.5.0","DevExpress.ExpressApp.ReportsV2.Web.v19.2.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.Win.SchedulerExtensions.ja","19.2.5.0","DevExpress.XtraScheduler.v19.2.Extensions.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.WindowsDesktop.DataAccess.ja","19.2.5.0","DevExpress.DataAccess.v19.2.resources.dll",".NETCoreApp,Version=v3.0"
"DevExpress.ExpressApp.Notifications.Web.ru","19.2.5.0","DevExpress.ExpressApp.Notifications.Web.v19.2.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.ScriptRecorder.ru","19.2.5.0","DevExpress.ExpressApp.ScriptRecorder.v19.2.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.Win.ja","19.2.5.0","DevExpress.ExpressApp.Win.v19.2.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.FileAttachment.Win","19.2.5.0","DevExpress.ExpressApp.FileAttachment.Win.v19.2.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.Chart","19.2.5.0","DevExpress.ExpressApp.Chart.v19.2.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.Office.Web","19.2.5.0","DevExpress.ExpressApp.Office.Web.v19.2.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.Notifications.es","19.2.5.0","DevExpress.ExpressApp.Notifications.v19.2.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.ReportsV2.Win.de","19.2.5.0","DevExpress.ExpressApp.ReportsV2.Win.v19.2.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.StateMachine.ja","19.2.5.0","DevExpress.ExpressApp.StateMachine.v19.2.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.ScriptRecorder.Win.ja","19.2.5.0","DevExpress.ExpressApp.ScriptRecorder.Win.v19.2.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.Scheduler.ja","19.2.5.0","DevExpress.ExpressApp.Scheduler.v19.2.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.Scheduler.Web.es","19.2.5.0","DevExpress.ExpressApp.Scheduler.Web.v19.2.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.Office.Win.ru","19.2.5.0","DevExpress.ExpressApp.Office.Win.v19.2.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.Maps.Web.de","19.2.5.0","DevExpress.ExpressApp.Maps.Web.v19.2.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.ViewVariantsModule","19.2.5.0","DevExpress.ExpressApp.ViewVariantsModule.v19.2.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.ViewVariantsModule","19.2.5.0","DevExpress.ExpressApp.ViewVariantsModule.v19.2.dll",".NETStandard,Version=v2.0"
"DevExpress.ExpressApp.ReportsV2.Win.ru","19.2.5.0","DevExpress.ExpressApp.ReportsV2.Win.v19.2.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.Win.Scheduler.ru","19.2.5.0","DevExpress.XtraScheduler.v19.2.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.StateMachine.es","19.2.5.0","DevExpress.ExpressApp.StateMachine.v19.2.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.Validation.ru","19.2.5.0","DevExpress.ExpressApp.Validation.v19.2.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.PivotChart.ja","19.2.5.0","DevExpress.ExpressApp.PivotChart.v19.2.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.Notifications.de","19.2.5.0","DevExpress.ExpressApp.Notifications.v19.2.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.Scheduler.Web.ru","19.2.5.0","DevExpress.ExpressApp.Scheduler.Web.v19.2.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.HtmlPropertyEditor.Win.ru","19.2.5.0","DevExpress.ExpressApp.HtmlPropertyEditor.Win.v19.2.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.Office","19.2.5.0","DevExpress.ExpressApp.Office.v19.2.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.PivotChart.es","19.2.5.0","DevExpress.ExpressApp.PivotChart.v19.2.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.Workflow.es","19.2.5.0","DevExpress.ExpressApp.Workflow.v19.2.resources.dll",".NETFramework,Version=v4.5.2"
"DevExpress.ExpressApp.Scheduler.es","19.2.5.0","DevExpress.ExpressApp.Scheduler.v19.2.resources.dll",".NETFramework,Version=v4.5.2"
