"Package","Version","Assembly","DotNetFramework"
"devexpress.document.processor","16.2.11","DevExpress.Docs.v16.2.dll","Any,Version=v0.0"
"devexpress.document.processor","16.2.11","DevExpress.Snap.v16.2.Core.dll","Any,Version=v0.0"
"devexpress.mvvm","16.2.11","DevExpress.Mvvm.v16.2.dll","Any,Version=v0.0"
"devexpress.reporting.core","16.2.11","DevExpress.XtraReports.v16.2.dll","Any,Version=v0.0"
"devexpress.web.bootstrap","16.2.11","DevExpress.Web.Bootstrap.v16.2.dll","Any,Version=v0.0"
"devexpress.images","16.2.11","DevExpress.Images.v16.2.dll","Any,Version=v0.0"
"devexpress.web.mvc","16.2.11","DevExpress.Web.Mvc.v16.2.dll","Any,Version=v0.0"
"devexpress.pdf.drawing","16.2.11","DevExpress.Pdf.v16.2.Drawing.dll","Any,Version=v0.0"
"devexpress.web.mvc5","16.2.11","DevExpress.Web.Mvc5.v16.2.dll","Any,Version=v0.0"
"devexpress.web.scheduler","16.2.11","DevExpress.Web.ASPxScheduler.v16.2.dll","Any,Version=v0.0"
"devexpress.web.office","16.2.11","DevExpress.Web.ASPxRichEdit.v16.2.dll","Any,Version=v0.0"
"devexpress.web.office","16.2.11","DevExpress.Web.ASPxSpreadsheet.v16.2.dll","Any,Version=v0.0"
"devexpress.web.visualization","16.2.11","DevExpress.Web.ASPxGauges.v16.2.dll","Any,Version=v0.0"
"devexpress.web.visualization","16.2.11","DevExpress.XtraCharts.v16.2.Web.dll","Any,Version=v0.0"
"devexpress.web.dashboard","16.2.11","DevExpress.Dashboard.v16.2.Web.dll","Any,Version=v0.0"
"devexpress.web.mvc.dashboard","16.2.11","DevExpress.Dashboard.v16.2.Web.Mvc.dll","Any,Version=v0.0"
"devexpress.web.mvc5.dashboard","16.2.11","DevExpress.Dashboard.v16.2.Web.Mvc5.dll","Any,Version=v0.0"
"devexpress.web","16.2.11","DevExpress.Web.ASPxHtmlEditor.v16.2.dll","Any,Version=v0.0"
"devexpress.web","16.2.11","DevExpress.Web.ASPxPivotGrid.v16.2.dll","Any,Version=v0.0"
"devexpress.web","16.2.11","DevExpress.Web.ASPxSpellChecker.v16.2.dll","Any,Version=v0.0"
"devexpress.web","16.2.11","DevExpress.Web.ASPxTreeList.v16.2.dll","Any,Version=v0.0"
"devexpress.web","16.2.11","DevExpress.Web.Resources.v16.2.dll","Any,Version=v0.0"
"devexpress.web","16.2.11","DevExpress.Web.v16.2.dll","Any,Version=v0.0"
"devexpress.web.reporting","16.2.11","DevExpress.XtraReports.v16.2.Web.dll","Any,Version=v0.0"
"devexpress.win.bonusskins","16.2.11","DevExpress.BonusSkins.v16.2.dll","Any,Version=v0.0"
"devexpress.win.dashboard","16.2.11","DevExpress.Dashboard.v16.2.Win.dll","Any,Version=v0.0"
"devexpress.win.gauges","16.2.11","DevExpress.XtraGauges.v16.2.Presets.dll","Any,Version=v0.0"
"devexpress.win.gauges","16.2.11","DevExpress.XtraGauges.v16.2.Win.dll","Any,Version=v0.0"
"devexpress.win.pdfviewer","16.2.11","DevExpress.XtraPdfViewer.v16.2.dll","Any,Version=v0.0"
"devexpress.win.richedit","16.2.11","DevExpress.XtraRichEdit.v16.2.dll","Any,Version=v0.0"
