#TYPE System.Management.Automation.PSCustomObject
"Package","Version","Assembly"
"DevExpress.Charts.ja","18.2.3","DevExpress.XtraCharts.v18.2.resources"
"DevExpress.Charts.ru","18.2.3","DevExpress.XtraCharts.v18.2.resources"
"DevExpress.Data","18.2.3","DevExpress.Data.v18.2"
"DevExpress.Data.es","18.2.3","DevExpress.Data.v18.2.resources"
"DevExpress.Dashboard.Core.ru","18.2.3","DevExpress.Dashboard.v18.2.Core.resources"
"DevExpress.Charts.de","18.2.3","DevExpress.XtraCharts.v18.2.resources"
"DevExpress.Charts.ru","18.2.3","DevExpress.XtraCharts.v18.2.resources"
"DevExpress.CodeParser","18.2.3","DevExpress.CodeParser.v18.2"
"DevExpress.Dashboard.Core.de","18.2.3","DevExpress.Dashboard.v18.2.Core.resources"
"DevExpress.Charts.es","18.2.3","DevExpress.XtraCharts.v18.2.resources"
"DevExpress.Dashboard.Core","18.2.3","DevExpress.Dashboard.v18.2.Core"
"DevExpress.AspNetCore.Core.ja","18.2.3","DevExpress.AspNetCore.Core.v18.2.resources"
"DevExpress.AspNetCore.Core.ru","18.2.3","DevExpress.AspNetCore.Core.v18.2.resources"
"DevExpress.AspNetCore.Resources","18.2.3","DevExpress.AspNetCore.Resources.v18.2"
"DevExpress.AspNetCore.DemoData","18.2.3","DevExpress.AspNetCore.DemoData.v18.2"
"DevExpress.AspNetCore.Reporting","18.2.3","DevExpress.AspNetCore.Reporting.v18.2"
"DevExpress.AspNetCore.Dashboard","18.2.3","DevExpress.Dashboard.v18.2.AspNetCore"
"DevExpress.Dashboard.Core.es","18.2.3","DevExpress.Dashboard.v18.2.Core.resources"
"DevExpress.Data.de","18.2.3","DevExpress.Data.v18.2.resources"
"DevExpress.Dashboard.Core.de","18.2.3","DevExpress.Dashboard.v18.2.Core.resources"
"DevExpress.Dashboard.Core.ja","18.2.3","DevExpress.Dashboard.v18.2.Core.resources"
"DevExpress.Dashboard.Core.ru","18.2.3","DevExpress.Dashboard.v18.2.Core.resources"
"DevExpress.ExpressApp.Notifications.Web","18.2.3","DevExpress.ExpressApp.Notifications.Web.v18.2"
"DevExpress.ExpressApp.Notifications.Web.de","18.2.3","DevExpress.ExpressApp.Notifications.Web.v18.2.resources"
"DevExpress.ExpressApp.Notifications.ru","18.2.3","DevExpress.ExpressApp.Notifications.v18.2.resources"
"DevExpress.ExpressApp.Office.Win.ru","18.2.3","DevExpress.ExpressApp.Office.Win.v18.2.resources"
"DevExpress.ExpressApp.PivotChart","18.2.3","DevExpress.ExpressApp.PivotChart.v18.2"
"DevExpress.ExpressApp.Notifications.de","18.2.3","DevExpress.ExpressApp.Notifications.v18.2.resources"
"DevExpress.ExpressApp.Objects","18.2.3","DevExpress.ExpressApp.Objects.v18.2"
"DevExpress.ExpressApp.Objects.de","18.2.3","DevExpress.ExpressApp.Objects.v18.2.resources"
"DevExpress.ExpressApp.Notifications.Win","18.2.3","DevExpress.ExpressApp.Notifications.Win.v18.2"
"DevExpress.ExpressApp.Notifications.es","18.2.3","DevExpress.ExpressApp.Notifications.v18.2.resources"
"DevExpress.ExpressApp.Notifications.ja","18.2.3","DevExpress.ExpressApp.Notifications.v18.2.resources"
"DevExpress.ExpressApp.Office.Win.es","18.2.3","DevExpress.ExpressApp.Office.Win.v18.2.resources"
"DevExpress.ExpressApp.Objects.es","18.2.3","DevExpress.ExpressApp.Objects.v18.2.resources"
"DevExpress.ExpressApp.Office.Win.de","18.2.3","DevExpress.ExpressApp.Office.Win.v18.2.resources"
"DevExpress.ExpressApp.Dashboards.ja","18.2.3","DevExpress.ExpressApp.Dashboards.v18.2.resources"
"DevExpress.ExpressApp.Office.Win","18.2.3","DevExpress.ExpressApp.Office.Win.v18.2"
"DevExpress.ExpressApp.Objects.ja","18.2.3","DevExpress.ExpressApp.Objects.v18.2.resources"
"DevExpress.ExpressApp.PivotChart.ja","18.2.3","DevExpress.ExpressApp.PivotChart.v18.2.resources"
"DevExpress.ExpressApp.Office.Win.ja","18.2.3","DevExpress.ExpressApp.Office.Win.v18.2.resources"
"DevExpress.ExpressApp.PivotChart.es","18.2.3","DevExpress.ExpressApp.PivotChart.v18.2.resources"
"DevExpress.ExpressApp.Objects.ru","18.2.3","DevExpress.ExpressApp.Objects.v18.2.resources"
"DevExpress.ExpressApp.PivotChart.de","18.2.3","DevExpress.ExpressApp.PivotChart.v18.2.resources"
"DevExpress.AspNetCore.Common","18.2.3","DevExpress.AspNetCore.Common.v18.2"
"DevExpress.ExpressApp.ConditionalAppearance","18.2.3","DevExpress.ExpressApp.ConditionalAppearance.v18.2"
"DevExpress.ExpressApp.ConditionalAppearance.Mobile","18.2.3","DevExpress.ExpressApp.ConditionalAppearance.Mobile.v18.2"
"DevExpress.ExpressApp.CloneObject.ru","18.2.3","DevExpress.ExpressApp.CloneObject.v18.2.resources"
"DevExpress.ExpressApp.Dashboards.de","18.2.3","DevExpress.ExpressApp.Dashboards.v18.2.resources"
"DevExpress.ExpressApp.Dashboards.es","18.2.3","DevExpress.ExpressApp.Dashboards.v18.2.resources"
"DevExpress.ExpressApp.AuditTrail.de","18.2.3","DevExpress.ExpressApp.AuditTrail.v18.2.resources"
"DevExpress.ExpressApp","18.2.3","DevExpress.ExpressApp.v18.2"
"DevExpress.ExpressApp.AuditTrail","18.2.3","DevExpress.ExpressApp.AuditTrail.v18.2"
"DevExpress.Document.Processor","18.2.3","DevExpress.Docs.v18.2"
"DevExpress.ExpressApp.AuditTrail.es","18.2.3","DevExpress.ExpressApp.AuditTrail.v18.2.resources"
"DevExpress.ExpressApp.AuditTrail.ja","18.2.3","DevExpress.ExpressApp.AuditTrail.v18.2.resources"
"DevExpress.DataAccess.es","18.2.3","DevExpress.DataAccess.v18.2.resources"
"DevExpress.ExpressApp.CloneObject.es","18.2.3","DevExpress.ExpressApp.CloneObject.v18.2.resources"
"DevExpress.DataAccess.de","18.2.3","DevExpress.DataAccess.v18.2.resources"
"DevExpress.DataAccess.es","18.2.3","DevExpress.DataAccess.v18.2.resources"
"DevExpress.DataAccess.ja","18.2.3","DevExpress.DataAccess.v18.2.resources"
"DevExpress.ExpressApp.CloneObject.ja","18.2.3","DevExpress.ExpressApp.CloneObject.v18.2.resources"
"DevExpress.ExpressApp.CloneObject.de","18.2.3","DevExpress.ExpressApp.CloneObject.v18.2.resources"
"DevExpress.ExpressApp.Dashboards","18.2.3","DevExpress.ExpressApp.Dashboards.v18.2"
"DevExpress.ExpressApp.CloneObject","18.2.3","DevExpress.ExpressApp.CloneObject.v18.2"
"DevExpress.ExpressApp.CloneObject.Mobile","18.2.3","DevExpress.ExpressApp.CloneObject.Mobile.v18.2"
"DevExpress.ExpressApp.Chart.Win","18.2.3","DevExpress.ExpressApp.Chart.Win.v18.2"
"DevExpress.Charts.de","18.2.3","DevExpress.XtraCharts.v18.2.resources"
"DevExpress.AspNetCore.Spreadsheet.-ctp","18.2.3","DevExpress.AspNetCore.Spreadsheet.v18.2"
"DevExpress.Charts.Core","18.2.3","DevExpress.Charts.v18.2.Core"
"DevExpress.AspNetCore.Scheduler.Core","18.2.3","DevExpress.AspNetCore.Scheduler.Core.v18.2"
"DevExpress.AspNetCore.Scheduler.Core.de","18.2.3","DevExpress.AspNetCore.Scheduler.Core.v18.2.resources"
"DevExpress.Charts","18.2.3","DevExpress.XtraCharts.v18.2"
"DevExpress.AspNetCore.Bootstrap","18.2.3","DevExpress.AspNetCore.Bootstrap.v18.2"
"DevExpress.AspNetCore.Bootstrap.Render","18.2.3","DevExpress.AspNetCore.Bootstrap.Render.v18.2"
"DevExpress.AspNetCore.Core.es","18.2.3","DevExpress.AspNetCore.Core.v18.2.resources"
"DevExpress.AspNetCore.Core","18.2.3","DevExpress.AspNetCore.Core.v18.2"
"DevExpress.AspNetCore.Core.de","18.2.3","DevExpress.AspNetCore.Core.v18.2.resources"
"DevExpress.ExpressApp.AuditTrail.ru","18.2.3","DevExpress.ExpressApp.AuditTrail.v18.2.resources"
"DevExpress.ExpressApp.Chart","18.2.3","DevExpress.ExpressApp.Chart.v18.2"
"DevExpress.ExpressApp.Chart.Web","18.2.3","DevExpress.ExpressApp.Chart.Web.v18.2"
"DevExpress.ExpressApp.Chart.ja","18.2.3","DevExpress.ExpressApp.Chart.v18.2.resources"
"DevExpress.ExpressApp.Chart.ru","18.2.3","DevExpress.ExpressApp.Chart.v18.2.resources"
"DevExpress.ExpressApp.Chart.de","18.2.3","DevExpress.ExpressApp.Chart.v18.2.resources"
"DevExpress.AspNetCore.Scheduler.Core.ru","18.2.3","DevExpress.AspNetCore.Scheduler.Core.v18.2.resources"
"DevExpress.AspNetCore.RichEdit.-ctp","18.2.3","DevExpress.AspNetCore.RichEdit.v18.2"
"DevExpress.AspNetCore.Scheduler.Core.ja","18.2.3","DevExpress.AspNetCore.Scheduler.Core.v18.2.resources"
"DevExpress.Data.es","18.2.3","DevExpress.Data.v18.2.resources"
"DevExpress.AspNetCore.Scheduler.Core.es","18.2.3","DevExpress.AspNetCore.Scheduler.Core.v18.2.resources"
"DevExpress.ExpressApp.Notifications.Web.es","18.2.3","DevExpress.ExpressApp.Notifications.Web.v18.2.resources"
"DevExpress.ExpressApp.Mobile.ru","18.2.3","DevExpress.ExpressApp.Mobile.v18.2.resources"
"DevExpress.ExpressApp.Maps.Web.ru","18.2.3","DevExpress.ExpressApp.Maps.Web.v18.2.resources"
"DevExpress.ExpressApp.Mobile.ja","18.2.3","DevExpress.ExpressApp.Mobile.v18.2.resources"
"DevExpress.ExpressApp.Maps.Mobile.es","18.2.3","DevExpress.ExpressApp.Maps.Mobile.v18.2.resources"
"DevExpress.ExpressApp.Mobile.es","18.2.3","DevExpress.ExpressApp.Mobile.v18.2.resources"
"DevExpress.ExpressApp.Mobile","18.2.3","DevExpress.ExpressApp.Mobile.v18.2"
"DevExpress.ExpressApp.ja","18.2.3","DevExpress.ExpressApp.v18.2.resources"
"DevExpress.ExpressApp.FileAttachment.Win.es","18.2.3","DevExpress.ExpressApp.FileAttachment.Win.v18.2.resources"
"DevExpress.ExpressApp.Images","18.2.3","DevExpress.ExpressApp.Images.v18.2"
"DevExpress.ExpressApp.Mobile.de","18.2.3","DevExpress.ExpressApp.Mobile.v18.2.resources"
"DevExpress.ExpressApp.HtmlPropertyEditor.Web","18.2.3","DevExpress.ExpressApp.HtmlPropertyEditor.Web.v18.2"
"DevExpress.ExpressApp.Dashboards.Win","18.2.3","DevExpress.ExpressApp.Dashboards.Win.v18.2"
"DevExpress.ExpressApp.Dashboards.Win.de","18.2.3","DevExpress.ExpressApp.Dashboards.Win.v18.2.resources"
"DevExpress.ExpressApp.DataService","18.2.3","DevExpress.ExpressApp.DataService.v18.2"
"DevExpress.ExpressApp.Dashboards.Win.ja","18.2.3","DevExpress.ExpressApp.Dashboards.Win.v18.2.resources"
"DevExpress.ExpressApp.Dashboards.Win.ru","18.2.3","DevExpress.ExpressApp.Dashboards.Win.v18.2.resources"
"DevExpress.ExpressApp.Dashboards.Win.es","18.2.3","DevExpress.ExpressApp.Dashboards.Win.v18.2.resources"
"DevExpress.ExpressApp.Maps.Mobile","18.2.3","DevExpress.ExpressApp.Maps.Mobile.v18.2"
"DevExpress.ExpressApp.Maps.Mobile.de","18.2.3","DevExpress.ExpressApp.Maps.Mobile.v18.2.resources"
"DevExpress.ExpressApp.Maps.Web.de","18.2.3","DevExpress.ExpressApp.Maps.Web.v18.2.resources"
"DevExpress.ExpressApp.Maps.Mobile.ru","18.2.3","DevExpress.ExpressApp.Maps.Mobile.v18.2.resources"
"DevExpress.ExpressApp.Maps.Web","18.2.3","DevExpress.ExpressApp.Maps.Web.v18.2"
"DevExpress.Wpf.Gauges.es","18.2.3","DevExpress.Xpf.Gauges.v18.2.resources"
"DevExpress.Wpf.Gauges.ja","18.2.3","DevExpress.Xpf.Gauges.v18.2.resources"
"DevExpress.Wpf.DocumentViewer.Core.de","18.2.3","DevExpress.Xpf.DocumentViewer.v18.2.Core.resources"
"DevExpress.Wpf.Dialogs","18.2.3","DevExpress.Xpf.Dialogs.v18.2"
"DevExpress.Wpf.DocumentViewer.Core","18.2.3","DevExpress.Xpf.DocumentViewer.v18.2.Core"
"DevExpress.Wpf.Gauges.ru","18.2.3","DevExpress.Xpf.Gauges.v18.2.resources"
"DevExpress.Wpf.Core","18.2.3","DevExpress.Xpf.Core.v18.2"
"DevExpress.Wpf.Core","18.2.3","DevExpress.Xpf.Core.v18.2.Extensions"
"DevExpress.Wpf.Gauges.de","18.2.3","DevExpress.Xpf.Gauges.v18.2.resources"
"DevExpress.Wpf.ExpressionEditor","18.2.3","DevExpress.Xpf.ExpressionEditor.v18.2"
"DevExpress.Wpf.Gauges","18.2.3","DevExpress.Xpf.Gauges.v18.2"
"DevExpress.ExpressApp.Kpi.ru","18.2.3","DevExpress.ExpressApp.Kpi.v18.2.resources"
"DevExpress.ExpressApp.Localization.Mobile","18.2.3","DevExpress.ExpressApp.Localization.Mobile.v18.2"
"DevExpress.ExpressApp.Kpi.ja","18.2.3","DevExpress.ExpressApp.Kpi.v18.2.resources"
"DevExpress.ExpressApp.FileAttachment.Win.ja","18.2.3","DevExpress.ExpressApp.FileAttachment.Win.v18.2.resources"
"DevExpress.ExpressApp.FileAttachment.Win.ru","18.2.3","DevExpress.ExpressApp.FileAttachment.Win.v18.2.resources"
"DevExpress.ExpressApp.Kpi","18.2.3","DevExpress.ExpressApp.Kpi.v18.2"
"DevExpress.Wpf.DocumentViewer.Core.ja","18.2.3","DevExpress.Xpf.DocumentViewer.v18.2.Core.resources"
"DevExpress.Wpf.DocumentViewer.Core.ru","18.2.3","DevExpress.Xpf.DocumentViewer.v18.2.Core.resources"
"DevExpress.Wpf.DocumentViewer.Core.es","18.2.3","DevExpress.Xpf.DocumentViewer.v18.2.Core.resources"
"DevExpress.ExpressApp.Kpi.de","18.2.3","DevExpress.ExpressApp.Kpi.v18.2.resources"
"DevExpress.ExpressApp.Kpi.es","18.2.3","DevExpress.ExpressApp.Kpi.v18.2.resources"
"DevExpress.ExpressApp.Dashboards.Web.de","18.2.3","DevExpress.ExpressApp.Dashboards.Web.v18.2.resources"
"DevExpress.ExpressApp.PivotChart.Web.es","18.2.3","DevExpress.ExpressApp.PivotChart.Web.v18.2.resources"
"DevExpress.ExpressApp.PivotChart.Web.ja","18.2.3","DevExpress.ExpressApp.PivotChart.Web.v18.2.resources"
"DevExpress.ExpressApp.ReportsV2.es","18.2.3","DevExpress.ExpressApp.ReportsV2.v18.2.resources"
"DevExpress.ExpressApp.ReportsV2","18.2.3","DevExpress.ExpressApp.ReportsV2.v18.2"
"DevExpress.ExpressApp.ReportsV2.de","18.2.3","DevExpress.ExpressApp.ReportsV2.v18.2.resources"
"DevExpress.ExpressApp.PivotChart.Web.ru","18.2.3","DevExpress.ExpressApp.PivotChart.Web.v18.2.resources"
"DevExpress.ExpressApp.PivotChart.Win.ja","18.2.3","DevExpress.ExpressApp.PivotChart.Win.v18.2.resources"
"DevExpress.ExpressApp.PivotChart.Win.ru","18.2.3","DevExpress.ExpressApp.PivotChart.Win.v18.2.resources"
